         OffspringID             FatherID             MotherID  ClusterIndex
        15.142.1PACL                   Dad_3                  Mom_13             1
        15.142.2PACL                  Dad_55                   Mom_6             5
        15.142.3PACL                  Dad_22                   Mom_6             5
        15.142.4PACL                  Dad_21                  Mom_22             1
        15.142.6PACL                  Dad_42                  Mom_42             2
       15.C144.1PACL                  Dad_37                  Mom_46             4
       15.C144.2PACL                  Dad_41                  Mom_57             3
       15.C149.1PACL                  Dad_22                  Mom_52             5
       15.C150.1PACL                  Dad_59                  Mom_58             3
       15.C152.2PACL                  Dad_12                  Mom_48             4
       15.C152.3PACL                  Dad_21                  Mom_28             1
       15.C153.1PACL                  Dad_39                   Mom_8             2
       15.C156.1PACL                  Dad_60                  Mom_59             7
        15.C160.1HLL                  Dad_42                  Mom_24             2
        15.C164.3HLL                  Dad_55                  Mom_52             5
        15.C164.6HLL                  Dad_10                  Mom_50             6
        16.C166.2HLL                  Dad_36                  Mom_60             7
        16.C166.4HLL                  Dad_42                  Mom_20             2
       15.C211.1PACL                  Dad_49                  Mom_39             5
       15.R387.2MASL                  Dad_36                  Mom_51             7
       15.R387.3MASL                  Dad_11                  Mom_44             4
        15.D040.1MCL                  Dad_17                  Mom_54             3
        15.D055.1MCL                  Dad_61                  Mom_61             8
        15.D055.3MCL                  Dad_57                  Mom_58             3
        15.D060.2MCL                  Dad_22                  Mom_62             5
        15.D046.1MCL                  Dad_44                  Mom_63             8
        15.D046.2MCL                  Dad_46                  Mom_10             4
        15.D046.3MCL                  Dad_37                  Mom_48             4
       15.D033.1NCCL                  Dad_47                  Mom_19             7
       15.D033.2NCCL                  Dad_60                  Mom_19             7
       15.D033.3NCCL                  Dad_26                  Mom_43             8
       15.D043.1NCCL                  Dad_41                  Mom_54             3
       15.D043.2NCCL                  Dad_38                  Mom_61             8
       15.D043.3NCCL                  Dad_47                  Mom_25             7
       15.D049.1NCCL                  Dad_62                  Mom_15             6
       15.D049.2NCCL                  Dad_60                  Mom_49             7
       15.D049.3NCCL                  Dad_49                  Mom_18             5
       15.D049.4NCCL                  Dad_63                  Mom_56             7
       15.D049.5NCCL                  Dad_64                  Mom_20             2
       15.D049.6NCCL                  Dad_65                  Mom_64             2
       15.D049.7NCCL                  Dad_63                  Mom_25             7
       15.D049.8NCCL                  Dad_17                  Mom_57             3
       15.D049.9NCCL                  Dad_61                  Mom_27             8
      15.D049.10NCCL                  Dad_51                  Mom_44             4
      15.D049.11NCCL                  Dad_53                  Mom_64             2
      15.D049.12NCCL                  Dad_66                  Mom_65             8
      15.D049.13NCCL                  Dad_57                  Mom_54             3
       15.D050.1NCCL                  Dad_67                  Mom_66             8
       15.D050.2NCCL                  Dad_68                  Mom_17             1
       15.D050.3NCCL                  Dad_50                  Mom_15             6
       15.D050.4NCCL                  Dad_21                   Mom_3             1
       15.D050.5NCCL                  Dad_17                   Mom_4             3
       15.D050.6NCCL                  Dad_52                  Mom_43             8
       15.D050.7NCCL                  Dad_69                  Mom_25             7
       15.D050.8NCCL                  Dad_70                  Mom_67             7
        15.D0509NCCL                  Dad_31                  Mom_17             1
      15.D050.11NCCL                  Dad_71                  Mom_43             8
       15.D061.2NCCL                   Dad_8                  Mom_62             5
       15.D088.1NCCL                  Dad_61                  Mom_65             8
        15.D001.1HLL                  Dad_36                  Mom_56             7
        15.D001.4HLL                  Dad_50                   Mom_9             6
        15.D001.7HLL                  Dad_19                  Mom_49             7
        15.D001.9HLL                  Dad_55                  Mom_39             5
       15.D001.11HLL                  Dad_55                  Mom_39             5
       15.D001.14HLL                  Dad_20                  Mom_67             7
       15.D001.18HLL                   Dad_3                  Mom_22             1
        15.D002.2HLL                  Dad_15                  Mom_62             5
        15.D002.6HLL                  Dad_68                   Mom_1             1
        15.D002.9HLL                  Dad_61                  Mom_66             8
       15.D002.11HLL                  Dad_43                  Mom_14             4
        15.D003.1HLL                  Dad_56                  Mom_66             8
        15.D024.1HLL                  Dad_59                  Mom_68             3
        15.D025.1HLL                  Dad_61                  Mom_37             8
        15.D035.1HLL                  Dad_46                  Mom_35             4
        15.D037.1HLL                  Dad_42                  Mom_20             2
       15.D0057.2HLL                  Dad_53                   Mom_2             2
       15.D0057.6HLL                  Dad_10                  Mom_30             6
       15.D017.1PACL                  Dad_21                  Mom_13             1
       15.D031.1PACL                  Dad_51                  Mom_14             4
       15.D032.3PACL                  Dad_41                  Mom_54             3
       15.D038.1PACL                  Dad_68                  Mom_28             1
       15.D039.3PACL                  Dad_56                  Mom_55             8
       15.D041.1PACL                  Dad_18                   Mom_6             5
       15.D042.3PACL                  Dad_10                  Mom_15             6
       15.D042.4PACL                  Dad_17                  Mom_68             3
       15.D044.1PACL                  Dad_41                  Mom_68             3
       15.D044.8PACL                  Dad_33                   Mom_3             1
       15.D044.9PACL                  Dad_38                  Mom_43             8
      15.D044.11PACL                  Dad_64                   Mom_2             2
      15.D044.15PACL                  Dad_44                  Mom_66             8
      15.D044.19PACL                  Dad_62                   Mom_9             6
      15.D044.24PACL                  Dad_50                  Mom_69             6
      15.D044.26PACL                  Dad_65                  Mom_24             2
       15.D045.2PACL                  Dad_38                  Mom_70             8
       15.D045.5PACL                  Dad_26                  Mom_70             8
       15.D045.6PACL                  Dad_57                  Mom_54             3
       15.D045.7PACL                  Dad_63                  Mom_51             7
       15.D045.8PACL                  Dad_40                  Mom_25             7
       15.D047.2PACL                  Dad_64                  Mom_42             2
       15.D047.7PACL                  Dad_51                  Mom_10             4
       15.D047.9PACL                  Dad_64                   Mom_2             2
      15.D047.10PACL                  Dad_64                  Mom_64             2
      15.D047.15PACL                  Dad_69                  Mom_67             7
      15.D047.16PACL                  Dad_19                  Mom_19             7
      15.D047.21PACL                  Dad_29                  Mom_70             8
      15.D047.27PACL                  Dad_15                  Mom_62             5
      15.D047.30PACL                  Dad_61                  Mom_65             8
      15.D047.33PACL                  Dad_44                  Mom_70             8
      15.D047.36PACL                  Dad_62                  Mom_12             6
      15.D047.40PACL                  Dad_67                  Mom_37             8
       15.D048.2PACL                  Dad_32                  Mom_66             8
       15.D048.4PACL                  Dad_64                  Mom_64             2
       15.D048.6PACL                  Dad_70                  Mom_67             7
        15.D056.3HLL                  Dad_11                  Mom_44             4
        15.D056.6HLL                  Dad_29                  Mom_26             8
