         OffspringID             FatherID             MotherID  ClusterIndex
      16.D0077.10GIL                   Dad_1                   Mom_1             1
      16.D0077.11GIL                   Dad_2                   Mom_2             2
      16.D0077.12GIL                   Dad_3                   Mom_3             3
       16.D0078.1GIL                   Dad_4                   Mom_4             2
      16.D0080.1TCCL                   Dad_4                   Mom_5             2
      16.D0081.1TCCL                   Dad_5                   Mom_6             4
       16.D0082.1GIL                   Dad_6                   Mom_7             4
       16.D0082.2GIL                   Dad_7                   Mom_8             2
       16.D0083.1GIL                   Dad_8                   Mom_9             5
       16.D0084.1GIL                   Dad_8                  Mom_10             5
       16.D0084.2GIL                   Dad_9                  Mom_11             3
       16.D0084.3GIL                  Dad_10                  Mom_12             6
       16.D0084.4GIL                  Dad_11                  Mom_13             3
       16.D0084.5GIL                  Dad_12                  Mom_14             4
       16.D0084.6GIL                  Dad_13                  Mom_15             3
       16.D0085.1GIL                   Dad_1                  Mom_16             1
       16.D0085.2GIL                  Dad_14                  Mom_17             7
       16.D0085.3GIL                   Dad_1                   Mom_1             1
       16.D0085.4GIL                  Dad_15                  Mom_14             4
       16.D0085.5GIL                  Dad_16                  Mom_18             7
       16.D0085.6GIL                  Dad_17                  Mom_19             8
       16.D0085.7GIL                  Dad_18                  Mom_13             3
       16.D0085.8GIL                  Dad_17                  Mom_20             8
       16.D0085.9GIL                   Dad_2                   Mom_4             2
      16.D0085.10GIL                  Dad_19                  Mom_21             7
      16.D0085.11GIL                  Dad_18                  Mom_22             3
      16.D0085.12GIL                  Dad_20                  Mom_23             9
      16.D0085.13GIL                  Dad_21                   Mom_1             1
      16.D0085.14GIL                  Dad_22                  Mom_24            10
      16.D0085.15GIL                   Dad_7                   Mom_5             2
      16.D0086.1TCCL                  Dad_23                  Mom_25            11
       16.D0089.1GIL                  Dad_24                   Mom_8             2
       16.D0091.1GIL                   Dad_7                   Mom_8             2
      16.D0105.1PACL                  Dad_21                  Mom_26             1
      16.D0107.1PACL                   Dad_1                  Mom_27             1
       16.D0110.1HLL                  Dad_13                  Mom_28             3
       16.D0110.2HLL                  Dad_25                  Mom_29             8
       16.D0110.3HLL                  Dad_26                  Mom_30             6
       16.D0110.4HLL                  Dad_27                  Mom_10             5
       16.D0110.5HLL                  Dad_28                  Mom_31            10
       16.D0110.6HLL                  Dad_29                  Mom_32            10
       16.D0110.7HLL                  Dad_30                  Mom_33            10
       16.D0110.8HLL                   Dad_9                   Mom_3             3
