off	mom	dad	type
MR11J_02_07_001	MR10TH_168	MR10TH_082	both
MR11J_02_07_002	MR10TH_168	MR10A_239	both
MR11J_02_07_003	MR10TH_168	MR10A_239	both
MR11J_02_07_004	MR10TH_168	MR10A_239	both
MR11J_02_07_005	MR10TH_168	MR10TH_082	both
MR11J_02_07_006	MR10TH_168	MR10A_239	both
MR11J_02_07_007	MR10TH_168	MR10A_239	both
MR11J_02_07_008	MR10TH_168	MR10A_239	both
MR11J_02_07_009	MR10TH_168	MR10TH_082	both
MR11J_02_07_010	MR10TH_168	MR10TH_082	both
MR11J_02_08_001	MR10TH_168	MR10A_239	both
MR11J_02_08_002	MR10TH_168	MR10A_239	both
MR11J_02_08_003	MR10TH_168	MR10TH_082	both
MR11J_02_08_004	MR10TH_168	MR10A_239	both
MR11J_02_08_005	MR10TH_168	MR10TH_082	both
MR11J_02_08_006	MR10TH_168	MR10A_239	both
MR11J_02_08_007	MR10TH_168	MR10A_239	both
MR11J_02_08_008	MR10TH_168	MR10TH_082	both
MR11J_02_08_009	MR10TH_168	MR10TH_082	both
MR11J_02_08_010	MR10TH_168	MR10TH_082	both
MR11J_02_09_002	MR10TH_168	MR10A_239	both
MR11J_02_10_001	MR10A_213	MR10TH_033	both
MR11J_02_10_002	MR10TH_168	MR10A_239	both
MR11J_02_11_004	MR10TH_168	MR10A_239	both
MR11J_02_14_002	MR10TH_078	MR10TH_188	both
MR11J_02_14_003	MR10TH_168	MR10TH_077	both
MR11J_02_14_004	MR10TH_168	MR10A_239	both
MR11J_02_14_007	MR10TH_168	MR10A_239	both
MR11J_02_16_001	MR10TH_078	MR10TH_188	both
MR11J_02_18_001	MR10A_213	MR10TH_033	both
MR11J_02_22_001	MR10TH_078	MR10TH_188	both
MR11J_02_28_001	MR10A_067	MR10A_128	both
MR11J_03_02_001	MR10TH_078	MR10TH_188	both
MR11J_03_04_001	MR10A_098	MR10A_078	both
MR11J_03_04_002	MR10A_098	MR10A_078	both
MR11J_03_04_003	MR10A_098	MR10A_078	both
MR11J_03_06_001	MR10A_098	MR10A_078	both
MR11J_03_06_002	MR10A_231	MR10A_156	both
MR11J_03_08_003	MR10A_098	MR10A_078	both
MR11J_03_10_001	MR10A_098	MR10A_078	both
MR11J_03_10_002	MR10TH_154	MR10TH_158	both
MR11J_03_10_003	MR10A_231	MR10A_156	both
MR11J_03_10_004	MR10A_213	MR10TH_033	both
MR11J_03_10_005	MR10A_098	MR10A_078	both
MR11J_03_11_001	MR10A_231	MR10A_149	both
MR11J_03_14_001	MR10TH_154	MR10TH_158	both
MR11J_03_15_001	MR10TH_045	MR10TH_073	both
MR11J_03_16_001	MR10TH_154	MR10TH_158	both
MR11J_03_21_002	MR10A_326	MR10TH_028	both
MR11J_03_21_003	MR10TH_045	MR10TH_006	both
MR11J_03_21_005	MR10A_163	MR10TH_151	both
MR11J_03_21_006	MR10A_098	MR10A_078	both
MR11J_03_21_007	MR10A_249	MR10TH_069	both
MR11J_03_21_010	MR10TH_045	MR10TH_006	both
MR11J_03_21_012	MR10A_218	MR10A_245	both
MR11J_03_21_013	MR10A_061	MR10A_259	both
MR11J_03_21_014	MR10A_075	MR10A_078	both
MR11J_03_21_015	MR10A_036	MR10A_141	both
MR11J_03_21_016	MR10A_098	MR10A_078	both
MR11J_03_21_017	MR10A_213	MR10TH_033	both
MR11J_03_21_019	MR10A_213	MR10TH_033	both
MR11J_03_21_021	MR10A_213	MR10TH_033	both
MR11J_03_21_022	MR10A_075	MR10A_078	both
MR11J_03_21_024	MR10A_047	MR10TH_187	both
MR11J_03_24_001	MR10A_217	MR10TH_069	both
MR11J_03_24_002	MR10A_063	MR10TH_180	both
MR11J_03_24_004	MR10TH_045	MR10TH_006	both
MR11J_03_24_005	MR10TH_045	MR10TH_006	both
MR11J_03_26_001	MR10A_213	MR10TH_033	both
MR11J_03_26_002	MR10A_061	MR10TH_037	both
MR11J_03_28_001	MR10A_061	MR10TH_037	both
MR11J_03_28_003	MR10A_036	MR10TH_109	both
MR11J_03_28_004	MR10A_061	MR10TH_037	both
MR11J_03_28_005	MR10A_075	MR10A_079	both
MR11J_03_28_006	MR10A_061	MR10TH_037	both
MR11J_03_28_007	MR10A_231	MR10A_156	both
MR11J_03_28_008	MR10A_065	MR10A_234	both
MR11J_03_28_009	MR10A_061	MR10TH_037	both
MR11J_03_28_010	MR10A_061	MR10TH_037	both
MR11J_03_28_011	MR10A_053	MR10A_046	both
MR11J_03_28_012	MR10A_061	MR10TH_037	both
MR11J_03_28_013	MR10A_098	MR10A_078	both
MR11J_03_28_014	MR10A_061	MR10TH_037	both
MR11J_03_28_015	MR10A_061	MR10A_239	both
MR11J_03_28_016	MR10A_036	MR10A_141	both
MR11J_03_29_001	MR10A_203	MR10A_156	both
MR11J_03_29_002	MR10A_061	MR10TH_082	both
MR11J_03_29_003	MR10A_061	MR10TH_037	both
MR11J_03_29_004	MR10A_061	MR10TH_037	both
MR11J_03_29_005	MR10A_061	MR10TH_037	both
MR11J_03_30_001	MR10A_247	MR10TH_113	both
MR11J_03_30_002	MR10A_061	MR10TH_082	both
MR11J_03_30_005	MR10A_213	MR10TH_033	both
MR11J_03_30_006	MR10A_061	MR10TH_037	both
MR11J_03_30_007	MR10A_213	MR10TH_033	both
MR11J_03_30_008	MR10A_213	MR10TH_033	both
MR11J_03_30_009	MR10A_061	MR10TH_082	both
MR11J_03_30_011	MR10A_061	MR10TH_082	both
MR11J_03_30_012	MR10A_435	MR10TH_254	both
MR11J_04_01_001	MR10A_061	MR10TH_082	both
MR11J_04_01_002	MR10A_061	MR10TH_037	both
MR11J_04_01_003	MR10A_061	MR10TH_037	both
MR11J_04_02_001	MR10A_235	MR10TH_165	both
MR11J_04_02_002	MR10A_061	MR10TH_082	both
MR11J_04_02_003	MR10A_036	MR10TH_062	both
MR11J_04_02_004	MR10TH_101	MR10A_128	both
MR11J_04_04_002	MR10A_180	MR10TH_021	both
MR11J_04_04_003	MR10A_098	MR10A_078	both
MR11J_04_04_006	MR10A_061	MR10TH_082	both
MR11J_04_04_007	MR10A_061	MR10TH_037	both
MR11J_04_04_008	MR10A_063	MR10TH_180	both
MR11J_04_04_009	MR10A_061	MR10TH_037	both
