off	mom	dad	type
MR10J_03_23_007	MR09A_0235	MR09A_0613	both
MR10J_03_23_008	MR09A_0480	MR09A_0462	both
MR10J_03_23_010	MR09A_1154	MR09A_0490	both
MR10J_03_23_011	MR09A_0257	MR09A_1131	both
MR10J_03_23_013	MR09A_0551	MR09A_0876	both
MR10J_03_23_014	MR09A_0981	MR09A_0401	both
MR10J_03_23_015	MR09A_0157	MR09A_0046	both
MR10J_03_23_016	MR09A_0480	MR09A_0462	both
MR10J_03_23_017	MR09A_0701	MR09A_1138	both
MR10J_03_23_018	MR09A_0149	MR09A_1102	both
MR10J_03_23_019	MR09A_0776	MR09A_0431	both
MR10J_03_23_022	MR09A_0257	MR09A_0428	both
MR10J_03_23_023	MR09A_0322	MR09A_1095	both
MR10J_03_23_026	MR09A_1197	MR09A_0370	both
MR10J_03_23_028	MR09A_0257	MR09A_0313	both
MR10J_03_23_029	MR09A_0378	MR09A_0091	both
MR10J_03_23_031	MR09A_1197	MR09A_0103	both
MR10J_03_23_032	MR09A_0257	MR09A_0809	both
MR10J_03_23_034	MR09A_0127	MR09A_1157	both
MR10J_03_23_035	MR09A_0452	MR09A_0815	both
MR10J_03_25_002	MR09A_0515	MR09A_1330	both
MR10J_03_25_004	MR09A_0726	MR09A_0906	both
MR10J_03_25_005	MR09A_0843	MR09A_0303	both
MR10J_03_25_006	MR09A_0109	MR09A_0431	both
MR10J_03_25_007	MR09A_0010	MR09A_1188	both
MR10J_03_25_008	MR09A_0373	MR09A_0913	both
MR10J_03_25_009	MR09A_0733	MR09A_0412	both
MR10J_03_25_010	MR09A_0956	MR09A_0370	both
MR10J_03_25_011	MR09A_0570	MR09A_0876	both
MR10J_03_25_013	MR09A_0397	MR09A_0091	both
MR10J_03_25_014	MR09A_1345	MR09A_0830	both
MR10J_03_25_016	MR09A_0495	MR09A_0838	both
MR10J_03_25_017	MR09A_1245	MR09A_0242	both
MR10J_03_25_018	MR09A_0776	MR09A_0431	both
MR10J_03_25_019	MR09A_0846	MR09A_0809	both
MR10J_03_25_020	MR09A_1245	MR09A_0095	both
MR10J_03_25_021	MR09A_0010	MR09A_0939	both
MR10J_03_25_025	MR09A_0010	MR09A_0756	both
MR10J_03_25_029	MR09A_0010	MR09A_1188	both
MR10J_03_25_030	MR09A_0748	MR09A_0178	both
MR10J_03_25_031	MR09A_0733	MR09A_0412	both
MR10J_03_25_032	MR09A_0479	MR09A_0906	both
MR10J_03_25_033	MR09A_0157	MR09A_0046	both
MR10J_03_25_034	MR09A_0479	MR09A_0906	both
MR10J_03_25_037	MR09A_0479	MR09A_1126	both
MR10J_03_25_038	MR09A_0378	MR09A_1227	both
MR10J_03_25_039	MR09A_0552	MR09A_0808	both
MR10J_03_25_041	MR09A_0832	MR09A_0477	both
MR10J_03_25_042	MR09A_0479	MR09A_1126	both
MR10J_03_25_043	MR09A_0748	MR09A_0178	both
MR10J_03_25_047	MR09A_0748	MR09A_0178	both
MR10J_03_25_048	MR09A_1154	MR09A_0490	both
MR10J_03_26_002	MR09A_0515	MR09A_1330	both
MR10J_03_26_003	MR09A_0479	MR09A_1126	both
MR10J_03_26_004	MR09A_0479	MR09A_0906	both
MR10J_03_26_005	MR09A_0733	MR09A_0891	both
MR10J_03_26_006	MR09A_0479	MR09A_1126	both
MR10J_03_26_008	MR09A_0699	MR09A_1102	both
MR10J_03_26_009	MR09A_0235	MR09A_1131	both
MR10J_03_26_010	MR09A_0373	MR09A_0955	both
MR10J_03_26_011	MR09A_0479	MR09A_0906	both
MR10J_03_26_013	MR09A_0480	MR09A_0462	both
MR10J_03_26_014	MR09A_0479	MR09A_1126	both
MR10J_03_26_015	MR09A_0373	MR09A_0317	both
MR10J_03_26_016	MR09A_1154	MR09A_0490	both
MR10J_03_26_019	MR09A_1154	MR09A_0490	both
MR10J_03_26_020	MR09A_0688	MR09A_0906	both
MR10J_03_26_022	MR09A_0288	MR09A_0179	both
MR10J_03_26_023	MR09A_0378	MR09A_1227	both
MR10J_03_26_024	MR09A_0726	MR09A_1066	both
MR10J_03_26_026	MR09A_0748	MR09A_0178	both
MR10J_03_28_001	MR09A_0393	MR09A_1030	both
MR10J_03_28_002	MR09A_0479	MR09A_0906	both
MR10J_03_28_003	MR09A_0748	MR09A_0178	both
MR10J_03_28_004	MR09A_0378	MR09A_1227	both
MR10J_03_29_001	MR09A_1197	MR09A_0103	both
MR10J_03_29_002	MR09A_0733	MR09A_0412	both
MR10J_03_29_003	MR09A_1245	MR09A_0242	both
MR10J_03_29_006	MR09A_0452	MR09A_0815	both
MR10J_03_29_007	MR09A_0298	MR09A_0490	both
MR10J_03_29_008	MR09A_1197	MR09A_1365	both
MR10J_03_29_011	MR09A_0235	MR09A_0500	both
MR10J_03_29_012	MR09A_0235	MR09A_0621	both
MR10J_04_01_001	MR09A_0235	MR09A_0500	both
MR10J_04_01_004	MR09A_0378	MR09A_1227	both
MR10J_04_01_005	MR09A_1154	MR09A_0490	both
MR10J_04_01_006	MR09A_0748	MR09A_0619	both
MR10J_04_01_007	MR09A_0748	MR09A_0178	both
MR10J_04_01_008	MR09A_0570	MR09A_0876	both
MR10J_04_01_009	MR09A_0480	MR09A_0462	both
MR10J_04_01_011	MR09A_0843	MR09A_0303	both
MR10J_04_01_012	MR09A_0235	MR09A_0613	both
MR10J_04_01_013	MR09A_0187	MR09A_1212	both
MR10J_04_01_014	MR09A_0157	MR09A_0046	both
MR10J_04_01_017	MR09A_0480	MR09A_0462	both
MR10J_04_02_001	MR09A_0570	MR09A_1138	both
MR10J_04_02_005	MR09A_0479	MR09A_1126	both
MR10J_04_02_006	MR09A_0654	MR09A_1157	both
MR10J_04_02_007	MR09A_0654	MR09A_0500	both
MR10J_04_02_008	MR09A_0654	MR09A_1157	both
MR10J_04_02_009	MR09A_0373	MR09A_1196	both
MR10J_04_02_010	MR09A_1345	MR09A_0248	both
MR10J_04_02_014	MR09A_0010	MR09A_1188	both
MR10J_04_02_015	MR09A_0402	MR09A_1196	both
MR10J_04_02_016	MR09A_1345	MR09A_0248	both
MR10J_04_02_019	MR09A_0373	MR09A_0955	both
MR10J_04_02_020	MR09A_0397	MR09A_1033	both
MR10J_04_02_021	MR09A_0846	MR09A_0809	both
MR10J_04_02_022	MR09A_0235	MR09A_0428	both
MR10J_04_02_023	MR09A_0738	MR09A_0358	both
MR10J_04_02_024	MR09A_1345	MR09A_0248	both
MR10J_04_05_001	MR09A_0162	MR09A_0262	both
MR10J_04_05_003	MR09A_1345	MR09A_0178	both
MR10J_04_05_004	MR09A_0639	MR09A_1030	both
MR10J_04_05_005	MR09A_1345	MR09A_0248	both
MR10J_04_05_007	MR09A_0415	MR09A_1260	both
MR10J_04_05_008	MR09A_0683	MR09A_0141	both
MR10J_04_05_009	MR09A_1345	MR09A_0178	both
MR10J_04_05_010	MR09A_0010	MR09A_0756	both
MR10J_04_05_011	MR09A_0570	MR09A_0876	both
MR10J_04_05_012	MR09A_0540	MR09A_0251	both
MR10J_04_05_013	MR09A_0498	MR09A_1051	both
MR10J_04_05_015	MR09A_1176	MR09A_1231	both
MR10J_04_05_016	MR09A_0498	MR09A_0459	both
MR10J_04_05_017	MR09A_0470	MR09A_0095	both
MR10J_04_05_018	MR09A_1345	MR09A_0178	both
MR10J_04_05_020	MR09A_0149	MR09A_1102	both
MR10J_04_05_021	MR09A_0570	MR09A_1138	both
MR10J_04_05_022	MR09A_0470	MR09A_1018	both
MR10J_04_05_023	MR09A_0956	MR09A_0370	both
MR10J_04_07_001	MR09A_0552	MR09A_1128	both
MR10J_04_07_002	MR09A_1245	MR09A_0785	both
MR10J_04_07_003	MR09A_0397	MR09A_1033	both
MR10J_04_07_004	MR09A_1245	MR09A_0095	both
MR10J_04_07_005	MR09A_0639	MR09A_0299	both
MR10J_04_07_006	MR09A_0765	MR09A_0269	both
MR10J_04_07_007	MR09A_0004	MR09A_1330	both
MR10J_04_07_008	MR09A_0564	MR09A_1185	both
MR10J_04_07_009	MR09A_0738	MR09A_0428	both
MR10J_04_07_010	MR09A_1345	MR09A_0584	both
MR10J_04_07_012	MR09A_0765	MR09A_1188	both
MR10J_04_07_013	MR09A_0004	MR09A_0323	both
MR10J_04_07_014	MR09A_0201	MR09A_1062	both
MR10J_04_07_015	MR09A_1345	MR09A_0178	both
MR10J_04_07_016	MR09A_1345	MR09A_0584	both
MR10J_04_07_018	MR09A_0765	MR09A_1188	both
MR10J_04_07_019	MR09A_0538	MR09A_0808	both
MR10J_04_07_020	MR09A_0723	MR09A_0040	both
MR10J_04_07_021	MR09A_0162	MR09A_0262	both
MR10J_04_07_022	MR09A_0157	MR09A_0603	both
MR10J_04_07_023	MR09A_0733	MR09A_0412	both
MR10J_04_07_024	MR09A_0373	MR09A_0955	both
MR10J_04_07_025	MR09A_0157	MR09A_0002	both
MR10J_04_07_026	MR09A_0004	MR09A_1330	both
MR10J_04_07_027	MR09A_0688	MR09A_0906	both
MR10J_04_07_028	MR09A_0560	MR09A_0897	both
MR10J_04_07_030	MR09A_1345	MR09A_0584	both
MR10J_04_07_031	MR09A_0205	MR09A_0412	both
MR10J_04_07_032	MR09A_0723	MR09A_1270	both
MR10J_04_07_034	MR09A_0157	MR09A_0603	both
MR10J_04_08_002	MR09A_0147	MR09A_0431	both
MR10J_04_08_003	MR09A_0538	MR09A_0808	both
MR10J_04_08_004	MR09A_1345	MR09A_0584	both
MR10J_04_08_005	MR09A_0004	MR09A_1330	both
MR10J_04_08_007	MR09A_0147	MR09A_0431	both
MR10J_04_08_008	MR09A_0765	MR09A_0269	both
MR10J_04_08_010	MR09A_0723	MR09A_1270	both
MR10J_04_08_011	MR09A_0147	MR09A_0431	both
MR10J_04_08_012	MR09A_0843	MR09A_0303	both
MR10J_04_08_014	MR09A_0147	MR09A_0431	both
MR10J_04_08_016	MR09A_1345	MR09A_0178	both
MR10J_04_08_017	MR09A_0843	MR09A_0303	both
MR10J_04_08_019	MR09A_0020	MR09A_0651	both
MR10J_04_08_020	MR09A_0322	MR09A_0894	both
MR10J_04_08_021	MR09A_0765	MR09A_1188	both
MR10J_04_08_022	MR09A_0765	MR09A_0269	both
MR10J_04_08_023	MR09A_0147	MR09A_0431	both
MR10J_04_08_024	MR09A_1345	MR09A_0584	both
MR10J_04_08_025	MR09A_0498	MR09A_0459	both
MR10J_04_09_001	MR09A_0147	MR09A_0431	both
MR10J_04_09_002	MR09A_0765	MR09A_1188	both
MR10J_04_09_004	MR09A_0322	MR09A_1372	both
MR10J_04_09_006	MR09A_0147	MR09A_0431	both
MR10J_04_09_007	MR09A_0470	MR09A_1018	both
MR10J_04_09_008	MR09A_0157	MR09A_0002	both
MR10J_04_09_010	MR09A_0723	MR09A_1270	both
MR10J_04_09_011	MR09A_0552	MR09A_0808	both
MR10J_04_09_012	MR09A_0765	MR09A_1188	both
MR10J_04_09_013	MR09A_0020	MR09A_0651	both
MR10J_04_09_014	MR09A_0020	MR09A_1227	both
MR10J_04_09_015	MR09A_0552	MR09A_0808	both
MR10J_04_09_016	MR09A_0723	MR09A_1270	both
MR10J_04_09_017	MR09A_0470	MR09A_0917	both
MR10J_04_09_018	MR09A_0207	MR09A_0091	both
MR10J_04_09_019	MR09A_0288	MR09A_0431	both
MR10J_04_09_021	MR09A_0723	MR09A_1270	both
MR10J_04_09_022	MR09A_0363	MR09A_0178	both
MR10J_04_09_023	MR09A_0724	MR09A_0442	both
MR10J_04_12_001	MR09A_0564	MR09A_1185	both
MR10J_04_12_002	MR09A_0049	MR09A_0955	both
MR10J_04_12_003	MR09A_0546	MR09A_1055	both
MR10J_04_12_006	MR09A_0158	MR09A_0243	both
MR10J_04_12_008	MR09A_0157	MR09A_0603	both
MR10J_04_12_009	MR09A_1197	MR09A_1226	both
MR10J_04_12_011	MR09A_0211	MR09A_1330	both
