off	mom	dad	type
MR09APR_024	MR08_294	MR08_473	both
MR09APR_025	MR08_294	MR08_086	both
MR09APR_026	MR08_318	MR08_540	both
MR09APR_027	MR08_158	MR08_307	both
MR09APR_028	MR08_057	MR08_233	both
MR09APR_029	MR08_318	MR08_540	both
MR09APR_030	MR08_338	MR08_113	both
MR09APR_031	MR08_235	MR08_557	both
MR09APR_032	MR08_164	MR08_566	both
MR09APR_033	MR08_340	MR08_017	both
MR09APR_034	MR08_394	MR08_467	both
MR09APR_035	MR08_418	MR08_664	both
MR09APR_036	MR08_294	MR08_473	both
MR09APR_038	MR08_418	MR08_664	both
MR09APR_039	MR08_418	MR08_653	both
MR09APR_040	MR08_778	MR08_197	both
MR09APR_043	MR08_378	MR08_376	both
MR09APR_045	MR08_366	MR08_585	both
MR09APR_046	MR08_196	MR08_631	both
MR09APR_047	MR08_453	MR08_495	both
MR09AUG_120	MR08_402	MR08_314	both
MR09AUG_121	MR08_028	MR08_243	both
MR09AUG_122	MR08_785	MR08_747	both
MR09AUG_123	MR08_825	MR08_787	both
MR09AUG_124	MR08_329	MR08_619	both
MR09AUG_125	MR08_371	MR08_607	both
MR09AUG_126	MR08_322	MR08_292	both
MR09AUG_127	MR08_196	MR08_600	both
MR09AUG_128	MR08_740	MR08_463	both
MR09AUG_129	MR08_712	MR08_360	both
MR09AUG_130	MR08_850	MR08_194	both
MR09AUG_131	MR08_012	MR08_492	both
MR09AUG_132	MR08_867	MR08_219	both
MR09AUG_133	MR08_123	MR08_608	both
MR09AUG_134	MR08_770	MR08_563	both
MR09AUG_136	MR08_089	MR08_655	both
MR09AUG_137	MR08_057	MR08_375	both
MR09AUG_139	MR08_105	MR08_499	both
MR09AUG_140	MR08_856	MR08_747	both
MR09AUG_141	MR08_144	MR08_563	both
MR09AUG_142	MR08_089	MR08_640	both
MR09AUG_143	MR08_680	MR08_290	both
MR09J10_15_001	MR08_808	MR08_771	both
MR09JUL_096	MR08_735	MR08_565	both
MR09JUL_097	MR08_210	MR08_313	both
MR09JUL_098	MR08_157	MR08_467	both
MR09JUL_099	MR08_851	MR08_853	both
MR09JUL_100	MR08_402	MR08_538	both
MR09JUL_101	MR08_785	MR08_747	both
MR09JUL_102	MR08_834	MR08_239	both
MR09JUL_103	MR08_855	MR08_828	both
MR09JUL_104	MR08_057	MR08_375	both
MR09JUL_105	MR08_122	MR08_650	both
MR09JUL_106	MR08_352	MR08_584	both
MR09JUL_107	MR08_785	MR08_747	both
MR09JUL_108	MR08_064	MR08_529	both
MR09JUL_109	MR08_694	MR08_674	both
MR09JUL_111	MR08_694	MR08_674	both
MR09JUL_112	MR08_740	MR08_463	both
MR09JUL_113	MR08_867	MR08_219	both
MR09JUL_114	MR08_371	MR08_689	both
MR09JUL_115	MR08_102	MR08_607	both
MR09JUL_116	MR08_810	MR08_219	both
MR09JUL_117	MR08_851	MR08_219	both
MR09JUL_118	MR08_735	MR08_569	both
MR09JUL_119	MR08_185	MR08_328	both
MR09JUN_072	MR08_786	MR08_766	both
MR09JUN_073	MR08_832	MR08_755	both
MR09JUN_076	MR08_825	MR08_787	both
MR09JUN_077	MR08_851	MR08_853	both
MR09JUN_079	MR08_057	MR08_375	both
MR09JUN_081	MR08_812	MR08_467	both
