off	mom	dad	type
MR13J_03_03_0001	MR12TH_077	MR12TH_226	both
MR13J_03_03_0002	MR12TH_077	MR12TH_078	both
MR13J_03_03_0003	MR12TH_077	MR12TH_226	both
MR13J_03_03_0004	MR12TH_077	MR12TH_078	both
MR13J_03_03_0005	MR12TH_344	MR12A_087	both
MR13J_03_05_0006	MR12TH_067	MR12TH_364	both
MR13J_03_07_0008	MR12TH_067	MR12TH_364	both
MR13J_03_07_0010	MR12TH_284	MR12A_226	both
MR13J_03_07_0011	MR12A_133	MR12TH_102	both
MR13J_03_07_0012	MR12A_193	MR12TH_258	both
MR13J_03_07_0013	MR12A_275	MR12TH_190	both
MR13J_03_07_0014	MR12TH_284	MR12A_226	both
MR13J_03_07_0015	MR12TH_268	MR12TH_188	both
MR13J_03_09_0016	MR12TH_077	MR12TH_226	both
MR13J_03_09_0017	MR12TH_407	MR12A_040	both
MR13J_03_09_0018	MR12A_133	MR12TH_102	both
MR13J_03_09_0019	MR12TH_067	MR12TH_010	both
MR13J_03_11_0020	MR12A_193	MR12A_171	both
MR13J_03_11_0021	MR12TH_360	MR12A_046	both
MR13J_03_11_0023	MR12A_041	MR12TH_358	both
MR13J_03_13_0024	MR12TH_187	MR12TH_078	both
MR13J_03_13_0026	MR12A_112	MR12A_254	both
MR13J_03_13_0027	MR12TH_187	MR12TH_003	both
MR13J_03_13_0028	MR12TH_187	MR12TH_003	both
MR13J_03_13_0029	MR12TH_187	MR12TH_003	both
MR13J_03_13_0030	MR12TH_187	MR12TH_078	both
MR13J_03_13_0031	MR12TH_187	MR12TH_003	both
MR13J_03_13_0032	MR12TH_077	MR12TH_226	both
MR13J_03_13_0033	MR12TH_187	MR12TH_078	both
MR13J_03_13_0034	MR12A_248	MR12TH_307	both
MR13J_03_13_0035	MR12TH_187	MR12TH_078	both
MR13J_03_13_0036	MR12TH_424	MR12A_322	both
MR13J_03_13_0038	MR12TH_187	MR12TH_078	both
MR13J_03_13_0039	MR12A_133	MR12TH_102	both
MR13J_03_13_0041	MR12A_126	MR12TH_421	both
MR13J_03_13_0042	MR12TH_187	MR12TH_003	both
MR13J_03_13_0043	MR12TH_187	MR12TH_078	both
MR13J_03_13_0044	MR12TH_284	MR12A_226	both
MR13J_03_13_0045	MR12A_133	MR12TH_102	both
MR13J_03_14_0046	MR12A_390	MR12A_228	both
MR13J_03_14_0047	MR12A_248	MR12TH_307	both
MR13J_03_14_0048	MR12A_110	MR12TH_054	both
MR13J_03_16_0051	MR12TH_225	MR12A_161	both
MR13J_03_16_0053	MR12TH_187	MR12TH_078	both
MR13J_03_16_0054	MR12A_239	MR12TH_192	both
MR13J_03_16_0055	MR12A_155	MR12TH_098	both
MR13J_03_16_0056	MR12TH_272	MR12TH_298	both
MR13J_03_16_0057	MR12A_155	MR12TH_098	both
MR13J_03_16_0058	MR12A_045	MR12A_097	both
MR13J_03_16_0059	MR12A_248	MR12TH_307	both
MR13J_03_16_0060	MR12A_110	MR12TH_054	both
MR13J_03_16_0061	MR12TH_309	MR12TH_276	both
MR13J_03_16_0062	MR12TH_215	MR12TH_230	both
MR13J_03_16_0063	MR12TH_484	MR12A_175	both
MR13J_03_16_0064	MR12A_110	MR12TH_054	both
MR13J_03_16_0065	MR12A_155	MR12TH_098	both
MR13J_03_16_0066	MR12A_126	MR12TH_421	both
MR13J_03_16_0067	MR12A_110	MR12TH_054	both
MR13J_03_16_0068	MR12TH_433	MR12TH_473	both
MR13J_03_16_0070	MR12TH_272	MR12TH_298	both
MR13J_03_16_0071	MR12A_155	MR12TH_098	both
MR13J_03_17_0072	MR12TH_187	MR12TH_078	both
MR13J_03_17_0074	MR12TH_187	MR12TH_003	both
MR13J_03_17_0075	MR12A_085	MR12TH_078	both
MR13J_03_17_0076	MR12A_248	MR12TH_307	both
MR13J_03_17_0077	MR12TH_424	MR12A_040	both
MR13J_03_17_0078	MR12A_112	MR12TH_358	both
