off	mom	dad	type
MR14A_1577	MRA13_4567	MRA13_4549	both
MR14J_02_18_001	MR13A_4025	MR13A_4015	both
MR14J_02_27_001	MRA13_4602	MR13A_4104	both
MR14J_02_28_001	MR13A_4025	MR13A_4065	both
MR14J_03_02_001	MRA13_4532	MR13A_4005	both
MR14J_03_17_001	MRA13_4558	MR13A_4109	both
MR14J_03_19_001	MRA13_4625	MR13A_4083	both
MR14J_03_22_001	MRA13_4504	MRA13_4751	both
MR14J_03_22_002	MR13A_4169	MR13A_4163	both
MR14J_03_22_003	MR13A_4029	MR13A_4160	both
MR14J_03_22_005	MRA13_4534	MR13A_4083	both
MR14J_03_22_006	MR13A_4078	MR13A_4035	both
MR14J_03_22_007	MR13A_4025	MR13A_4015	both
MR14J_03_22_008	MR13A_4025	MR13A_4015	both
MR14J_03_24_001	MR13A_4025	MR13A_4015	both
MR14J_03_24_002	MR13A_4025	MR13A_4065	both
MR14J_03_24_003	MR13A_4025	MR13A_4015	both
MR14J_03_24_004	MR13A_4030	MR13A_4065	both
MR14J_03_24_005	MR13A_4025	MR13A_4015	both
MR14J_03_24_006	MRA13_4625	MR13A_4083	both
MR14J_03_24_007	MR13A_4030	MR13A_4065	both
MR14J_03_24_008	MRA13_4602	MR13A_4104	both
MR14J_03_24_009	MR13A_4078	MR13A_4035	both
MR14J_03_24_011	MRA13_4901	MR13A_4121	both
MR14J_03_25_001	MR13A_4030	MR13A_4065	both
MR14J_03_25_002	MR13A_4025	MR13A_4015	both
MR14J_03_25_003	MRA13_4625	MR13A_4083	both
MR14J_03_25_004	MRA13_4927	MRA13_4733	both
MR14J_03_26_001	MR13A_4019	MR13A_4081	both
MR14J_03_26_002	MR13A_4141	MR13A_4133	both
MR14J_03_26_003	MRA13_4722	MRA13_4708	both
MR14J_03_26_004	MRA13_4901	MR13A_4121	both
MR14J_03_26_005	MRA13_4625	MR13A_4083	both
MR14J_03_26_006	MRA13_4625	MR13A_4083	both
MR14J_03_27_001	MRA13_4731	MRA13_4588	both
MR14J_03_28_001	MR13A_4030	MR13A_4065	both
MR14J_03_28_002	MR13A_4169	MRA13_4548	both
MR14J_03_28_003	MRA13_4625	MR13A_4083	both
MR14J_03_28_004	MR13A_4025	MR13A_4065	both
MR14J_03_28_005	MR13A_4078	MR13A_4035	both
MR14J_03_28_006	MRA13_4602	MR13A_4104	both
MR14J_03_28_007	MRA13_4625	MR13A_4083	both
MR14J_03_28_008	MRA13_4625	MR13A_4083	both
