off	mom	dad	type
MR12J_03_07_001	MR11A_294	MR11A_241	both
MR12J_03_09_001	MR11A_226	MR11_054	both
MR12J_03_10_001	MR11_197	MR11_147	both
MR12J_03_10_002	MR11A_036	MR11_104	both
MR12J_03_12_001	MR11A_036	MR11_104	both
MR12J_03_12_004	MR11A_226	MR11_054	both
MR12J_03_12_005	MR11A_036	MR11_104	both
MR12J_03_14_001	MR11A_292	MR11A_244	both
MR12J_03_14_004	MR11A_017	MR11A_068	both
MR12J_03_18_003	MR11_183	MR11_059	both
MR12J_03_18_004	MR11_183	MR11_059	both
MR12J_03_26_001	MR11A_036	MR11_104	both
MR12J_03_26_002	MR11A_294	MR11A_241	both
MR12J_03_26_004	MR11A_036	MR11_104	both
MR12J_03_27_001	MR11_183	MR11_054	both
MR12J_03_27_002	MR11_183	MR11_054	both
MR12J_03_27_003	MR11_183	MR11_054	both
MR12J_03_29_004	MR11A_178	MR11A_041	both
MR12J_03_29_008	MR11A_282	MR11_249	both
MR12J_03_29_009	MR11_044	MR11_209	both
MR12J_03_29_014	MR11_098	MR11_005	both
MR12J_03_29_025	MR11_023	MR11_140	both
MR12J_03_29_027	MR11_023	MR11_054	both
MR12J_03_29_029	MR11_023	MR11_321	both
MR12J_03_29_044	MR11A_282	MR11_249	both
MR12J_03_30_003	MR11A_293	MR11A_183	both
MR12J_03_30_004	MR11A_178	MR11A_041	both
MR12J_04_04_002	MR11_350	MR11_270	both
MR12J_04_06_001	MR11_272	MR11A_064	both
MR12J_04_09_001	MR11_040	MR11_119	both
MR12J_04_09_002	MR11_098	MR11_005	both
MR12J_04_09_006	MR11_197	MR11_147	both
MR12J_04_09_007	MR11_206	MR11_354	both
MR12J_04_09_008	MR11_197	MR11_147	both
MR12J_04_09_009	MR11_040	MR11_119	both
MR12J_04_09_011	MR11_044	MR11_209	both
MR12J_04_09_012	MR11_098	MR11_005	both
MR12J_04_09_013	MR11_206	MR11_354	both
MR12J_04_09_014	MR11_098	MR11_005	both
MR12J_04_09_015	MR11A_097	MR11_054	both
MR12J_04_09_016	MR11A_342	MR11_268	both
MR12J_04_09_018	MR11A_299	MR11_158	both
MR12J_04_09_019	MR11_040	MR11_119	both
MR12J_04_09_020	MR11A_017	MR11A_068	both
MR12J_04_09_023	MR11A_342	MR11A_174	both
MR12J_04_09_024	MR11A_342	MR11_268	both
MR12J_04_09_026	MR11_106	MR11_155	both
MR12J_04_09_027	MR11_282	MR11_007	both
MR12J_04_09_028	MR11A_178	MR11A_041	both
MR12J_04_09_031	MR11_040	MR11_119	both
MR12J_04_09_032	MR11A_011	MR11_126	both
MR12J_04_09_033	MR11_206	MR11_354	both
MR12J_04_09_034	MR11A_097	MR11_054	both
MR12J_04_11_001	MR11_239	MR11_249	both
MR12J_04_11_002	MR11A_209	MR11_168	both
MR12J_04_11_004	MR11A_294	MR11A_241	both
MR12J_04_11_005	MR11_001	MR11A_174	both
MR12J_04_11_009	MR11A_097	MR11_054	both
MR12J_04_11_010	MR11A_178	MR11A_041	both
MR12J_04_11_011	MR11_206	MR11_354	both
MR12J_04_11_012	MR11A_287	MR11_116	both
MR12J_04_11_013	MR11A_209	MR11_168	both
MR12J_04_11_015	MR11A_299	MR11_284	both
MR12J_04_11_016	MR11A_127	MR11A_340	both
MR12J_04_11_017	MR11A_053	MR11_284	both
MR12J_04_11_018	MR11A_293	MR11_230	both
MR12J_04_11_024	MR11A_103	MR11_007	both
MR12J_04_11_025	MR11A_299	MR11_284	both
MR12J_04_11_032	MR11_239	MR11A_262	both
MR12J_04_11_033	MR11A_097	MR11_054	both
MR12J_04_11_038	MR11_206	MR11_354	both
MR12J_04_11_040	MR11A_011	MR11_318	both
MR12J_04_11_041	MR11A_293	MR11A_183	both
MR12J_04_11_044	MR11A_097	MR11_054	both
MR12J_04_11_047	MR11A_017	MR11A_145	both
MR12J_04_12_001	MR11_098	MR11_005	both
MR12J_04_12_002	MR11A_017	MR11A_068	both
MR12J_04_12_005	MR11A_209	MR11_168	both
MR12J_04_12_007	MR11A_178	MR11A_041	both
MR12J_04_12_009	MR11_040	MR11_204	both
MR12J_04_12_011	MR11A_017	MR11A_068	both
MR12J_04_13_001	MR11A_293	MR11A_183	both
MR12J_04_13_002	MR11_101	MR11A_241	both
MR12J_04_13_005	MR11_101	MR11A_241	both
MR12J_04_13_006	MR11_196	MR11A_096	both
MR12J_04_13_009	MR11A_097	MR11_054	both
MR12J_04_13_013	MR11A_143	MR11_054	both
MR12J_04_13_015	MR11_206	MR11_354	both
MR12J_04_13_016	MR11_206	MR11_354	both
MR12J_04_13_017	MR11_040	MR11_085	both
MR12J_04_13_018	MR11A_017	MR11_235	both
MR12J_04_13_027	MR11_196	MR11A_096	both
MR12J_04_13_032	MR11_106	MR11_155	both
MR12J_04_13_035	MR11_040	MR11_085	both
MR12J_04_13_036	MR11A_128	MR11_003	both
MR12J_04_16_001	MR11_023	MR11_140	both
MR12J_04_16_008	MR11_099	MR11_135	both
MR12J_04_16_009	MR11A_274	MR11_180	both
MR12J_04_16_012	MR11A_095	MR11_235	both
MR12J_04_16_015	MR11_093	MR11_180	both
MR12J_04_16_016	MR11_023	MR11_054	both
MR12J_04_16_017	MR11A_342	MR11_268	both
MR12J_04_16_018	MR11A_226	MR11_005	both
MR12J_04_16_019	MR11A_128	MR11_003	both
MR12J_04_16_020	MR11_196	MR11A_096	both
MR12J_04_16_021	MR11_099	MR11_131	both
MR12J_04_16_024	MR11_101	MR11A_241	both
MR12J_04_16_026	MR11_239	MR11_249	both
MR12J_04_16_027	MR11_040	MR11_085	both
MR12J_04_16_029	MR11A_027	MR11_130	both
MR12J_04_16_030	MR11_023	MR11_140	both
MR12J_04_16_031	MR11A_011	MR11_318	both
MR12J_04_16_032	MR11_239	MR11_249	both
MR12J_04_16_033	MR11A_128	MR11_003	both
MR12J_04_16_035	MR11_023	MR11_140	both
MR12J_04_16_038	MR11_196	MR11A_096	both
MR12J_04_16_039	MR11_040	MR11_085	both
MR12J_04_16_040	MR11_093	MR11A_190	both
MR12J_04_16_043	MR11A_128	MR11_003	both
MR12J_04_16_046	MR11_197	MR11_147	both
MR12J_04_16_047	MR11_023	MR11_140	both
MR12J_04_16_048	MR11_023	MR11_030	both
MR12J_04_16_053	MR11_001	MR11A_174	both
MR12J_04_16_054	MR11A_128	MR11_003	both
MR12J_04_16_064	MR11_093	MR11_180	both
MR12J_04_16_066	MR11_196	MR11A_096	both
MR12J_04_16_072	MR11A_287	MR11_116	both
MR12J_04_16_074	MR11A_036	MR11_104	both
MR12J_04_16_076	MR11_143	MR11A_239	both
MR12J_04_16_078	MR11A_288	MR11A_187	both
MR12J_04_16_079	MR11_272	MR11_185	both
MR12J_04_16_080	MR11_196	MR11A_096	both
MR12J_04_16_082	MR11A_209	MR11_168	both
MR12J_04_16_083	MR11_253	MR11_247	both
MR12J_04_16_084	MR11_272	MR11_185	both
MR12J_04_16_085	MR11_023	MR11_030	both
MR12J_04_16_086	MR11_143	MR11A_240	both
MR12J_04_16_087	MR11A_143	MR11_054	both
MR12J_04_16_088	MR11_099	MR11_135	both
MR12J_04_16_099	MR11_023	MR11_030	both
MR12J_04_16_104	MR11_023	MR11_140	both
MR12J_04_16_106	MR11A_054	MR11_142	both
MR12J_04_16_108	MR11A_293	MR11A_183	both
MR12J_04_17_001	MR11A_054	MR11_142	both
MR12J_04_17_003	MR11_106	MR11_155	both
MR12J_04_17_005	MR11_040	MR11_085	both
MR12J_04_17_006	MR11_001	MR11A_174	both
MR12J_04_17_007	MR11A_052	MR11_248	both
MR12J_04_17_008	MR11A_209	MR11_168	both
MR12J_04_17_010	MR11A_252	MR11_220	both
MR12J_04_17_011	MR11_038	MR11A_031	both
MR12J_04_17_013	MR11A_103	MR11_312	both
MR12J_04_17_019	MR11A_299	MR11_158	both
MR12J_04_17_020	MR11A_103	MR11_007	both
MR12J_04_17_022	MR11_143	MR11_354	both
MR12J_04_17_023	MR11_206	MR11_354	both
MR12J_04_17_024	MR11_350	MR11_270	both
MR12J_04_17_025	MR11A_103	MR11_312	both
MR12J_04_18_002	MR11_118	MR11_205	both
MR12J_04_18_003	MR11A_128	MR11_003	both
MR12J_04_18_004	MR11_101	MR11A_241	both
MR12J_04_18_005	MR11A_342	MR11_268	both
MR12J_04_18_006	MR11_101	MR11A_241	both
MR12J_04_18_011	MR11A_342	MR11_268	both
MR12J_04_18_013	MR11A_052	MR11_248	both
MR12J_04_18_022	MR11_197	MR11_147	both
MR12J_04_19_002	MR11_101	MR11A_241	both
MR12J_04_19_003	MR11_101	MR11A_241	both
MR12J_04_19_004	MR11A_143	MR11_054	both
MR12J_04_19_006	MR11_023	MR11_054	both
MR12J_04_19_009	MR11A_143	MR11_054	both
MR12J_04_19_012	MR11_101	MR11A_241	both
MR12J_04_19_013	MR11A_294	MR11_014	both
MR12J_04_19_014	MR11A_343	MR11_163	both
MR12J_04_20_001	MR11A_017	MR11A_068	both
MR12J_04_20_003	MR11_023	MR11_054	both
MR12J_04_20_006	MR11_023	MR11_054	both
MR12J_04_20_008	MR11A_017	MR11A_068	both
MR12J_04_20_011	MR11_106	MR11_155	both
MR12J_04_20_013	MR11_023	MR11_054	both
MR12J_04_20_016	MR11A_128	MR11_137	both
MR12J_04_20_017	MR11_101	MR11A_241	both
MR12J_04_20_020	MR11_023	MR11_054	both
MR12J_04_20_022	MR11_006	MR11_005	both
MR12J_04_23_001	MR11A_269	MR11_145	both
MR12J_04_23_003	MR11A_011	MR11_134	both
MR12J_04_23_004	MR11A_282	MR11_205	both
MR12J_04_23_006	MR11A_045	MR11_175	both
MR12J_04_23_008	MR11_325	MR11_135	both
MR12J_04_23_009	MR11_023	MR11_054	both
MR12J_04_23_012	MR11A_128	MR11_003	both
MR12J_04_23_014	MR11_006	MR11_005	both
MR12J_04_23_023	MR11_106	MR11_155	both
MR12J_04_23_024	MR11A_095	MR11_309	both
MR12J_04_23_025	MR11_023	MR11_054	both
MR12J_04_23_026	MR11_239	MR11_249	both
MR12J_04_23_029	MR11_023	MR11_054	both
MR12J_04_23_030	MR11A_045	MR11_175	both
MR12J_04_23_032	MR11_101	MR11_115	both
MR12J_04_23_034	MR11A_045	MR11_175	both
MR12J_04_23_035	MR11_150	MR11_136	both
MR12J_04_23_036	MR11_239	MR11_249	both
MR12J_04_23_037	MR11A_045	MR11A_064	both
MR12J_04_23_040	MR11_092	MR11_014	both
MR12J_04_23_045	MR11_093	MR11A_241	both
MR12J_04_23_046	MR11A_045	MR11A_064	both
MR12J_04_23_048	MR11A_288	MR11A_065	both
MR12J_04_23_049	MR11_150	MR11_136	both
MR12J_04_23_050	MR11_011	MR11_185	both
MR12J_04_23_055	MR11_023	MR11_054	both
MR12J_04_23_056	MR11_011	MR11_185	both
MR12J_04_23_059	MR11_006	MR11_054	both
MR12J_04_23_060	MR11A_226	MR11_005	both
MR12J_04_23_061	MR11_206	MR11_354	both
MR12J_04_23_062	MR11A_143	MR11_054	both
MR12J_04_23_064	MR11_106	MR11_155	both
MR12J_04_23_065	MR11_006	MR11_005	both
