n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
100	50	50	1	308199	6182.2	3.33	6058.56	3.26	163	123.644	Before	0	62
60	31	29	0.94	50	1.6	1.3	1.66	1.34	39	0.055	After	126	62
100	50	50	1	316237	6353.2	3.39	6226.14	3.32	166	127.064	Before	0	63
58	30	28	0.93	50	1.66	1.38	1.71	1.43	40	0.059	After	126	63
100	50	50	1	286789	5711.45	1.82	5597.22	1.78	89	114.229	Before	0	64
60	32	28	0.88	50	1.58	1.16	1.75	1.29	36	0.056	After	54	64
100	50	50	1	326294	6537.94	3.06	6407.18	3	150	130.759	Before	0	65
60	28	32	1.14	50	1.81	1.44	1.53	1.22	39	0.057	After	115	65
100	50	50	1	323329	6415.69	4.37	6287.38	4.28	214	128.314	Before	0	66
62	33	29	0.88	50	1.53	1.34	1.69	1.48	43	0.053	After	177	66
100	50	50	1	345739	6996.14	4.24	6856.22	4.16	208	139.923	Before	0	67
60	31	29	0.94	50	1.63	1.47	1.69	1.52	44	0.056	After	167	67
100	50	50	1	306539	6107.22	1.55	5985.08	1.52	76	122.144	Before	0	68
59	30	29	0.97	50	1.69	1.14	1.69	1.14	33	0.058	After	47	68
100	50	50	1	324022	6504.45	3.12	6374.36	3.06	153	130.089	Before	0	69
61	31	30	0.97	50	1.63	1.37	1.63	1.37	41	0.054	After	113	69
100	50	50	1	328680	6633.18	1.55	6500.52	1.52	76	132.664	Before	0	70
61	30	31	1.03	50	1.69	1.17	1.58	1.1	34	0.055	After	47	70
100	50	50	1	326570	6484.94	1.47	6355.24	1.44	72	129.699	Before	0	71
58	30	28	0.93	50	1.69	1.17	1.75	1.21	34	0.06	After	41	71
100	50	50	1	320222	6481.51	1.8	6351.88	1.76	88	129.63	Before	0	72
59	32	27	0.84	50	1.58	1.1	1.81	1.26	34	0.059	After	56	72
100	50	50	1	326402	6508.82	4.12	6378.64	4.04	202	130.176	Before	0	73
57	32	25	0.78	50	1.55	1.26	1.92	1.56	39	0.062	After	166	73
100	50	50	1	320889	6405.98	2.41	6277.86	2.36	118	128.12	Before	0	74
62	33	29	0.88	50	1.5	1.22	1.66	1.34	39	0.052	After	79	74
100	50	50	1	302560	6081.14	3.63	5959.52	3.56	178	121.623	Before	0	75
66	33	33	1	50	1.53	1.38	1.48	1.33	44	0.046	After	136	75
100	50	50	1	305784	6092.51	4.16	5970.66	4.08	204	121.85	Before	0	76
57	29	28	0.97	50	1.75	1.5	1.75	1.5	42	0.062	After	164	76
100	50	50	1	292660	5856.73	3.94	5739.6	3.86	193	117.135	Before	0	77
59	31	28	0.9	50	1.63	1.37	1.75	1.46	41	0.058	After	153	77
100	50	50	1	312391	6278.35	3.41	6152.78	3.34	167	125.567	Before	0	78
62	32	30	0.94	50	1.58	1.35	1.63	1.4	42	0.053	After	127	78
100	50	50	1	289422	5810.65	3.78	5694.44	3.7	185	116.213	Before	0	79
65	33	32	0.97	50	1.5	1.41	1.5	1.41	45	0.047	After	143	79
100	50	50	1	318571	6350.78	2.41	6223.76	2.36	118	127.016	Before	0	80
53	29	24	0.83	50	1.75	1.18	2.04	1.38	33	0.073	After	87	80
100	50	50	1	300470	5958.76	2.65	5839.58	2.6	130	119.175	Before	0	81
59	30	29	0.97	50	1.66	1.34	1.66	1.34	39	0.057	After	91	81
100	50	50	1	327515	6547.33	1.71	6416.38	1.68	84	130.947	Before	0	82
60	33	27	0.82	50	1.53	1.12	1.81	1.33	36	0.057	After	50	82
100	50	50	1	302196	6018.98	4.1	5898.6	4.02	201	120.38	Before	0	83
63	34	29	0.85	50	1.48	1.36	1.69	1.55	45	0.051	After	158	83
100	50	50	1	288234	5722.65	2.37	5608.2	2.32	116	114.453	Before	0	84
56	29	27	0.93	50	1.75	1.29	1.81	1.33	36	0.065	After	83	84
100	50	50	1	331243	6637.82	3.31	6505.06	3.24	162	132.756	Before	0	85
59	30	29	0.97	50	1.66	1.31	1.66	1.31	38	0.057	After	124	85
100	50	50	1	334172	6655.47	4.45	6522.36	4.36	218	133.109	Before	0	86
61	34	27	0.79	50	1.48	1.33	1.81	1.63	44	0.055	After	175	86
100	50	50	1	269951	5416.2	1.73	5307.88	1.7	85	108.324	Before	0	87
59	30	29	0.97	50	1.66	1.14	1.66	1.14	33	0.057	After	54	87
100	50	50	1	284904	5729.67	1.59	5615.08	1.56	78	114.593	Before	0	88
53	29	24	0.83	50	1.75	1.07	2.04	1.25	30	0.073	After	49	88
100	50	50	1	308072	6163.67	2.47	6040.4	2.42	121	123.273	Before	0	89
61	32	29	0.91	50	1.55	1.26	1.66	1.34	39	0.053	After	82	89
100	50	50	1	323528	6460.16	2.49	6330.96	2.44	122	129.203	Before	0	90
55	27	28	1.04	50	1.85	1.38	1.71	1.29	36	0.066	After	86	90
100	50	50	1	334495	6699.29	1.65	6565.3	1.62	81	133.986	Before	0	91
55	29	26	0.9	50	1.64	1.11	1.77	1.19	31	0.063	After	56	91
100	50	50	1	275941	5563.49	2.69	5452.22	2.64	132	111.27	Before	0	92
54	29	25	0.86	50	1.68	1.36	1.88	1.52	38	0.067	After	94	92
100	50	50	1	334193	6651.86	4.55	6518.82	4.46	223	133.037	Before	0	93
62	31	31	1	50	1.53	1.4	1.48	1.35	42	0.049	After	181	93
100	50	50	1	329192	6559.63	3.78	6428.44	3.7	185	131.193	Before	0	94
65	32	33	1.03	50	1.55	1.39	1.45	1.3	43	0.047	After	146	94
100	50	50	1	312779	6302.59	1.59	6176.54	1.56	78	126.052	Before	0	95
57	31	26	0.84	50	1.63	1.1	1.88	1.27	33	0.063	After	46	95
100	50	50	1	318758	6449.12	2.51	6320.14	2.46	123	128.982	Before	0	96
60	33	27	0.82	50	1.53	1.12	1.81	1.33	36	0.057	After	87	96
100	50	50	1	293059	5795.08	3.2	5679.18	3.14	157	115.902	Before	0	97
58	29	29	1	50	1.75	1.39	1.69	1.34	39	0.06	After	122	97
100	50	50	1	303227	6130.27	4.55	6007.66	4.46	223	122.605	Before	0	98
55	27	28	1.04	50	1.77	1.46	1.64	1.36	38	0.063	After	192	98
100	50	50	1	315634	6330.41	2.43	6203.8	2.38	119	126.608	Before	0	99
59	31	28	0.9	50	1.63	1.3	1.75	1.39	39	0.058	After	81	99
100	50	50	1	306047	6180.06	1.69	6056.46	1.66	83	123.601	Before	0	100
63	35	28	0.8	50	1.41	1.15	1.71	1.39	39	0.05	After	45	100
100	50	50	1	313748	6231.16	3.41	6106.54	3.34	167	124.623	Before	0	1
100	50	50	1	500	9.88	3.1	9.68	3.04	152	0.198	After	15	1
100	50	50	1	295809	5879.06	2.55	5761.48	2.5	125	117.581	Before	0	2
99	50	49	0.98	500	9.9	2.43	9.9	2.43	119	0.202	After	6	2
100	50	50	1	292586	5848.33	1.76	5731.36	1.72	86	116.967	Before	0	3
99	49	50	1.02	500	10.15	1.73	9.74	1.66	83	0.203	After	3	3
100	50	50	1	313694	6331	4.76	6204.38	4.66	233	126.62	Before	0	4
100	50	50	1	500	10.08	3.86	9.88	3.78	189	0.202	After	45	4
100	50	50	1	330488	6612.82	3.33	6480.56	3.26	163	132.256	Before	0	5
99	50	49	0.98	500	10.14	2.98	10.14	2.98	146	0.207	After	17	5
100	50	50	1	309699	6125.88	2.45	6003.36	2.4	120	122.518	Before	0	6
98	50	48	0.96	500	9.96	2.1	10.17	2.15	103	0.207	After	17	6
100	50	50	1	279297	5576.67	4.45	5465.14	4.36	218	111.533	Before	0	7
100	50	50	1	500	10.08	3.69	9.88	3.62	181	0.202	After	37	7
100	50	50	1	342314	6860.43	4.55	6723.22	4.46	223	137.209	Before	0	8
99	50	49	0.98	500	10.06	3.78	10.06	3.78	185	0.205	After	38	8
100	50	50	1	312985	6332.78	1.76	6206.12	1.72	86	126.656	Before	0	9
99	49	50	1.02	500	10.27	1.75	9.86	1.68	84	0.205	After	2	9
100	50	50	1	301436	5963.73	3	5844.46	2.94	147	119.275	Before	0	10
99	50	49	0.98	500	9.92	2.65	9.92	2.65	130	0.202	After	17	10
100	50	50	1	311547	6201.16	3.33	6077.14	3.26	163	124.023	Before	0	11
99	50	49	0.98	500	9.94	3	9.94	3	147	0.203	After	16	11
100	50	50	1	325447	6486.43	1.73	6356.7	1.7	85	129.729	Before	0	12
99	50	49	0.98	500	9.92	1.65	9.92	1.65	81	0.202	After	4	12
100	50	50	1	295261	5934.47	2.33	5815.78	2.28	114	118.689	Before	0	13
99	50	49	0.98	500	10.06	2.2	10.06	2.2	108	0.205	After	6	13
100	50	50	1	300185	6061.02	3.06	5939.8	3	150	121.22	Before	0	14
98	50	48	0.96	500	10.06	2.59	10.27	2.65	127	0.21	After	25	14
100	50	50	1	316424	6388.9	1.61	6261.12	1.58	79	127.778	Before	0	15
100	50	50	1	500	10.04	1.61	9.84	1.58	79	0.201	After	0	15
100	50	50	1	282483	5659.31	3.45	5546.12	3.38	169	113.186	Before	0	16
99	50	49	0.98	500	9.86	2.96	9.86	2.96	145	0.201	After	24	16
100	50	50	1	294715	5911.16	1.59	5792.94	1.56	78	118.223	Before	0	17
97	48	49	1.02	500	10.4	1.62	9.98	1.55	76	0.212	After	2	17
100	50	50	1	301240	6018.12	4.16	5897.76	4.08	204	120.362	Before	0	18
100	50	50	1	500	10.02	3.39	9.82	3.32	166	0.2	After	38	18
100	50	50	1	309322	6233.02	2.29	6108.36	2.24	112	124.66	Before	0	19
100	50	50	1	500	10.04	2.14	9.84	2.1	105	0.201	After	7	19
100	50	50	1	305796	6141.55	1.8	6018.72	1.76	88	122.831	Before	0	20
99	50	49	0.98	500	10.06	1.73	10.06	1.73	85	0.205	After	3	20
100	50	50	1	322429	6403.37	1.67	6275.3	1.64	82	128.067	Before	0	21
99	50	49	0.98	500	9.9	1.63	9.9	1.63	80	0.202	After	2	21
100	50	50	1	312797	6213	4.18	6088.74	4.1	205	124.26	Before	0	22
97	50	47	0.94	500	9.9	3.18	10.32	3.32	156	0.211	After	49	22
100	50	50	1	316465	6384.27	4.49	6256.58	4.4	220	127.685	Before	0	23
100	50	50	1	500	10.04	3.84	9.84	3.76	188	0.201	After	32	23
100	50	50	1	321943	6402.04	1.84	6274	1.8	90	128.041	Before	0	24
100	50	50	1	500	9.92	1.8	9.72	1.76	88	0.198	After	2	24
100	50	50	1	311778	6294.16	4.45	6168.28	4.36	218	125.883	Before	0	25
99	50	49	0.98	500	10.04	3.65	10.04	3.65	179	0.205	After	39	25
100	50	50	1	315258	6324.61	4.14	6198.12	4.06	203	126.492	Before	0	26
99	50	49	0.98	500	10.08	3.55	10.08	3.55	174	0.206	After	30	26
100	50	50	1	331259	6601.94	2.29	6469.9	2.24	112	132.039	Before	0	27
99	50	49	0.98	500	10.08	2.1	10.08	2.1	103	0.206	After	9	27
100	50	50	1	320067	6345.2	2.59	6218.3	2.54	127	126.904	Before	0	28
98	50	48	0.96	500	9.94	2.37	10.15	2.42	116	0.207	After	12	28
100	50	50	1	310322	6165.76	4.1	6042.44	4.02	201	123.315	Before	0	29
99	50	49	0.98	500	9.9	3.22	9.9	3.22	158	0.202	After	43	29
100	50	50	1	320425	6383.41	2.45	6255.74	2.4	120	127.668	Before	0	30
98	50	48	0.96	500	10.04	2.24	10.25	2.29	110	0.209	After	10	30
100	50	50	1	312378	6248.08	1.73	6123.12	1.7	85	124.962	Before	0	31
96	50	46	0.92	500	9.96	1.63	10.61	1.74	80	0.217	After	5	31
100	50	50	1	280962	5595.73	1.78	5483.82	1.74	87	111.915	Before	0	32
99	49	50	1.02	500	10.15	1.75	9.74	1.68	84	0.203	After	3	32
100	50	50	1	321949	6373.49	4.22	6246.02	4.14	207	127.47	Before	0	33
98	50	48	0.96	500	9.8	3.57	10	3.65	175	0.204	After	32	33
100	50	50	1	308566	6108.29	1.88	5986.12	1.84	92	122.166	Before	0	34
100	50	50	1	500	10.04	1.8	9.84	1.76	88	0.201	After	4	34
100	50	50	1	358227	7182.73	4.49	7039.08	4.4	220	143.655	Before	0	35
99	50	49	0.98	500	10	3.76	10	3.76	184	0.204	After	36	35
100	50	50	1	339928	6853.06	4.55	6716	4.46	223	137.061	Before	0	36
100	50	50	1	500	10.1	3.67	9.9	3.6	180	0.202	After	45	36
100	50	50	1	332530	6595	2.67	6463.1	2.62	131	131.9	Before	0	37
99	50	49	0.98	500	9.86	2.41	9.86	2.41	118	0.201	After	13	37
100	50	50	1	322312	6402.27	1.63	6274.22	1.6	80	128.045	Before	0	38
99	50	49	0.98	500	9.92	1.61	9.92	1.61	79	0.202	After	1	38
100	50	50	1	298984	5973.47	4.29	5854	4.2	210	119.469	Before	0	39
99	50	49	0.98	500	9.98	3.41	9.98	3.41	167	0.204	After	43	39
100	50	50	1	299654	5921.43	3.41	5803	3.34	167	118.429	Before	0	40
99	50	49	0.98	500	9.88	2.9	9.88	2.9	142	0.202	After	25	40
100	50	50	1	302433	6107.04	2.53	5984.9	2.48	124	122.141	Before	0	41
99	50	49	0.98	500	10.06	2.41	10.06	2.41	118	0.205	After	7	41
100	50	50	1	324176	6524.57	2.33	6394.08	2.28	114	130.491	Before	0	42
99	50	49	0.98	500	10.06	2.22	10.06	2.22	109	0.205	After	5	42
100	50	50	1	331565	6681.63	1.88	6548	1.84	92	133.633	Before	0	43
99	50	49	0.98	500	10.02	1.84	10.02	1.84	90	0.204	After	2	43
100	50	50	1	299203	6043.31	4.39	5922.44	4.3	215	120.866	Before	0	44
99	50	49	0.98	500	10.06	3.49	10.06	3.49	171	0.205	After	44	44
100	50	50	1	304244	6041	2.29	5920.18	2.24	112	120.82	Before	0	45
99	50	49	0.98	500	9.86	2.12	9.86	2.12	104	0.201	After	8	45
100	50	50	1	296112	5897.88	2.45	5779.92	2.4	120	117.958	Before	0	46
98	50	48	0.96	500	9.96	2.2	10.17	2.25	108	0.207	After	12	46
100	50	50	1	320545	6435.2	2.61	6306.5	2.56	128	128.704	Before	0	47
99	50	49	0.98	500	10.1	2.55	10.1	2.55	125	0.206	After	5	47
100	50	50	1	310681	6218.96	4.12	6094.58	4.04	202	124.379	Before	0	48
99	50	49	0.98	500	10.02	3.37	10.02	3.37	165	0.204	After	39	48
100	50	50	1	325487	6462.84	2.76	6333.58	2.7	135	129.257	Before	0	49
100	50	50	1	500	9.88	2.49	9.68	2.44	122	0.198	After	13	49
100	50	50	1	324501	6541.78	3.94	6410.94	3.86	193	130.836	Before	0	50
99	50	49	0.98	500	10.08	3.45	10.08	3.45	169	0.206	After	24	50
100	50	50	1	298389	6031.96	1.71	5911.32	1.68	84	120.639	Before	0	51
100	50	50	1	500	10.12	1.67	9.92	1.64	82	0.202	After	2	51
100	50	50	1	279511	5515.57	1.73	5405.26	1.7	85	110.311	Before	0	52
98	49	49	1	500	10.27	1.73	10.06	1.69	83	0.21	After	2	52
100	50	50	1	326160	6579.24	3.1	6447.66	3.04	152	131.585	Before	0	53
99	50	49	0.98	500	10.02	2.86	10.02	2.86	140	0.204	After	12	53
100	50	50	1	321799	6425.29	1.55	6296.78	1.52	76	128.506	Before	0	54
99	49	50	1.02	500	10.21	1.56	9.8	1.5	75	0.204	After	1	54
100	50	50	1	318032	6350.45	1.73	6223.44	1.7	85	127.009	Before	0	55
100	50	50	1	500	9.98	1.69	9.78	1.66	83	0.2	After	2	55
100	50	50	1	300590	5950.33	3.12	5831.32	3.06	153	119.007	Before	0	56
97	49	48	0.98	500	10.04	2.69	10.04	2.69	129	0.209	After	24	56
100	50	50	1	328766	6536.86	2.98	6406.12	2.92	146	130.737	Before	0	57
99	50	49	0.98	500	9.88	2.67	9.88	2.67	131	0.202	After	15	57
100	50	50	1	321394	6384.16	1.8	6256.48	1.76	88	127.683	Before	0	58
100	50	50	1	500	9.94	1.71	9.74	1.68	84	0.199	After	4	58
100	50	50	1	303175	6043.63	2.63	5922.76	2.58	129	120.873	Before	0	59
100	50	50	1	500	9.98	2.41	9.78	2.36	118	0.2	After	11	59
100	50	50	1	305462	6066.24	3.35	5944.92	3.28	164	121.325	Before	0	60
99	50	49	0.98	500	9.96	2.96	9.96	2.96	145	0.203	After	19	60
100	50	50	1	302109	6071.67	1.88	5950.24	1.84	92	121.433	Before	0	61
100	50	50	1	500	10.04	1.84	9.84	1.8	90	0.201	After	2	61
100	50	50	1	297730	5927.55	2.47	5809	2.42	121	118.551	Before	0	62
99	50	49	0.98	500	10	2.2	10	2.2	108	0.204	After	13	62
100	50	50	1	295556	5838.29	3.45	5721.52	3.38	169	116.766	Before	0	63
99	50	49	0.98	500	10.02	3.1	10.02	3.1	152	0.204	After	18	63
100	50	50	1	319918	6347.41	1.69	6220.46	1.66	83	126.948	Before	0	64
99	50	49	0.98	500	9.84	1.63	9.84	1.63	80	0.201	After	3	64
100	50	50	1	327691	6619.33	4.53	6486.94	4.44	222	132.387	Before	0	65
100	50	50	1	500	10.12	3.78	9.92	3.7	185	0.202	After	41	65
100	50	50	1	309584	6180.69	4.45	6057.08	4.36	218	123.614	Before	0	66
99	50	49	0.98	500	9.92	3.71	9.92	3.71	182	0.202	After	36	66
100	50	50	1	326302	6544.51	3.22	6413.62	3.16	158	130.89	Before	0	67
99	50	49	0.98	500	10.12	2.88	10.12	2.88	141	0.207	After	20	67
100	50	50	1	321020	6449.8	1.67	6320.8	1.64	82	128.996	Before	0	68
98	49	49	1	500	10.17	1.58	9.96	1.55	76	0.207	After	6	68
100	50	50	1	311315	6286.94	3.63	6161.2	3.56	178	125.739	Before	0	69
100	50	50	1	500	10.14	3.27	9.94	3.2	160	0.203	After	19	69
100	50	50	1	321206	6459.39	1.76	6330.2	1.72	86	129.188	Before	0	70
100	50	50	1	500	10.08	1.73	9.88	1.7	85	0.202	After	1	70
100	50	50	1	315801	6328.18	4.02	6201.62	3.94	197	126.564	Before	0	71
100	50	50	1	500	9.98	3.49	9.78	3.42	171	0.2	After	29	71
100	50	50	1	309569	6192.67	3.16	6068.82	3.1	155	123.853	Before	0	72
100	50	50	1	500	10.04	2.8	9.84	2.74	137	0.201	After	18	72
100	50	50	1	277183	5551.49	1.67	5440.46	1.64	82	111.03	Before	0	73
98	48	50	1.04	500	10.47	1.72	9.84	1.62	81	0.209	After	1	73
100	50	50	1	327573	6567.08	3.63	6435.74	3.56	178	131.342	Before	0	74
99	50	49	0.98	500	10.02	3.02	10.02	3.02	148	0.204	After	30	74
100	50	50	1	314973	6375.71	4.22	6248.2	4.14	207	127.514	Before	0	75
100	50	50	1	500	10.04	3.31	9.84	3.24	162	0.201	After	45	75
100	50	50	1	280586	5623.59	2.55	5511.12	2.5	125	112.472	Before	0	76
99	50	49	0.98	500	10.08	2.45	10.08	2.45	120	0.206	After	5	76
100	50	50	1	310325	6169.29	3.35	6045.9	3.28	164	123.386	Before	0	77
100	50	50	1	500	9.94	2.9	9.74	2.84	142	0.199	After	22	77
100	50	50	1	323811	6551.55	3.37	6420.52	3.3	165	131.031	Before	0	78
100	50	50	1	500	10.08	3.06	9.88	3	150	0.202	After	16	78
100	50	50	1	306727	6059	3.86	5937.82	3.78	189	121.18	Before	0	79
99	50	49	0.98	500	9.8	3.18	9.8	3.18	156	0.2	After	33	79
100	50	50	1	319103	6325.69	2.59	6199.18	2.54	127	126.514	Before	0	80
100	50	50	1	500	9.84	2.45	9.64	2.4	120	0.197	After	7	80
100	50	50	1	305750	6049.24	2.53	5928.26	2.48	124	120.985	Before	0	81
99	50	49	0.98	500	9.98	2.45	9.98	2.45	120	0.204	After	4	81
100	50	50	1	321513	6404.04	3.57	6275.96	3.5	175	128.081	Before	0	82
100	50	50	1	500	10.02	3.16	9.82	3.1	155	0.2	After	21	82
100	50	50	1	329952	6574.53	3.61	6443.04	3.54	177	131.491	Before	0	83
99	50	49	0.98	500	9.98	3.31	9.98	3.31	162	0.204	After	18	83
100	50	50	1	281199	5579	4.33	5467.42	4.24	212	111.58	Before	0	84
98	50	48	0.96	500	10	3.61	10.21	3.69	177	0.208	After	36	84
100	50	50	1	299495	5936.47	1.82	5817.74	1.78	89	118.729	Before	0	85
99	50	49	0.98	500	10.04	1.78	10.04	1.78	87	0.205	After	2	85
100	50	50	1	298172	5882.18	2.53	5764.54	2.48	124	117.644	Before	0	86
98	49	49	1	500	9.81	2.23	9.61	2.18	107	0.2	After	17	86
100	50	50	1	325029	6457.12	2.53	6327.98	2.48	124	129.142	Before	0	87
99	50	49	0.98	500	10	2.31	10	2.31	113	0.204	After	11	87
100	50	50	1	332098	6670.49	2.31	6537.08	2.26	113	133.41	Before	0	88
100	50	50	1	500	10.04	2.27	9.84	2.22	111	0.201	After	2	88
100	50	50	1	316423	6380.04	2.53	6252.44	2.48	124	127.601	Before	0	89
98	50	48	0.96	500	10.04	2.29	10.25	2.33	112	0.209	After	12	89
100	50	50	1	314784	6319.41	3.29	6193.02	3.22	161	126.388	Before	0	90
100	50	50	1	500	10.08	2.96	9.88	2.9	145	0.202	After	17	90
100	50	50	1	326141	6537.47	1.71	6406.72	1.68	84	130.749	Before	0	91
99	50	49	0.98	500	10.08	1.65	10.08	1.65	81	0.206	After	3	91
100	50	50	1	307650	6118.16	3.84	5995.8	3.76	188	122.363	Before	0	92
99	50	49	0.98	500	9.92	3.41	9.92	3.41	167	0.202	After	21	92
100	50	50	1	308111	6179.51	3.31	6055.92	3.24	162	123.59	Before	0	93
100	50	50	1	500	10.1	2.78	9.9	2.72	136	0.202	After	28	93
100	50	50	1	319458	6462.73	2.33	6333.48	2.28	114	129.255	Before	0	94
98	50	48	0.96	500	10.14	2.16	10.35	2.21	106	0.211	After	10	94
100	50	50	1	306646	6066.49	3.84	5945.16	3.76	188	121.33	Before	0	95
100	50	50	1	500	10.04	3.31	9.84	3.24	162	0.201	After	26	95
100	50	50	1	298259	5913.53	1.73	5795.26	1.7	85	118.271	Before	0	96
97	49	48	0.98	500	10.12	1.65	10.12	1.65	79	0.211	After	6	96
100	50	50	1	305000	6148.47	3.02	6025.5	2.96	148	122.969	Before	0	97
100	50	50	1	500	10.06	2.63	9.86	2.58	129	0.201	After	20	97
100	50	50	1	303615	6057.2	4.55	5936.06	4.46	223	121.144	Before	0	98
99	50	49	0.98	500	10	3.71	10	3.71	182	0.204	After	41	98
100	50	50	1	299631	5940.47	3.31	5821.66	3.24	162	118.809	Before	0	99
98	50	48	0.96	500	10.06	2.84	10.27	2.9	139	0.21	After	23	99
100	50	50	1	322434	6487.53	2.41	6357.78	2.36	118	129.751	Before	0	100
100	50	50	1	500	10.02	2.24	9.82	2.2	110	0.2	After	8	100
