n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
97	50	47	0.94	500	9.9	2.71	10.32	2.83	133	0.211	After	13	61
100	50	50	1	307051	6091.57	2.47	5969.74	2.42	121	121.831	Before	0	62
99	50	49	0.98	500	9.82	2.22	9.82	2.22	109	0.2	After	12	62
100	50	50	1	299243	6008.67	1.65	5888.5	1.62	81	120.173	Before	0	63
99	50	49	0.98	500	9.98	1.61	9.98	1.61	79	0.204	After	2	63
100	50	50	1	313039	6254.35	2.73	6129.26	2.68	134	125.087	Before	0	64
97	50	47	0.94	500	10.1	2.33	10.53	2.43	114	0.215	After	21	64
100	50	50	1	335871	6754.51	4.37	6619.42	4.28	214	135.09	Before	0	65
100	50	50	1	500	9.98	3.67	9.78	3.6	180	0.2	After	35	65
100	50	50	1	305436	6067.04	2.39	5945.7	2.34	117	121.341	Before	0	66
99	50	49	0.98	500	9.9	2.22	9.9	2.22	109	0.202	After	8	66
100	50	50	1	341328	6809.71	2.59	6673.52	2.54	127	136.194	Before	0	67
99	50	49	0.98	500	9.92	2.47	9.92	2.47	121	0.202	After	6	67
100	50	50	1	308621	6243.86	4.1	6118.98	4.02	201	124.877	Before	0	68
100	50	50	1	500	10.12	3.45	9.92	3.38	169	0.202	After	34	68
100	50	50	1	286598	5712.45	4.51	5598.2	4.42	221	114.249	Before	0	69
100	50	50	1	500	10.02	3.71	9.82	3.64	182	0.2	After	39	69
100	50	50	1	329291	6529.22	4.18	6398.64	4.1	205	130.584	Before	0	70
100	50	50	1	500	10.04	3.51	9.84	3.44	172	0.201	After	37	70
100	50	50	1	295707	5933.86	3.33	5815.18	3.26	163	118.677	Before	0	71
99	50	49	0.98	500	9.96	2.92	9.96	2.92	143	0.203	After	20	71
100	50	50	1	323054	6401.24	3.27	6273.22	3.2	160	128.025	Before	0	72
98	50	48	0.96	500	9.8	2.84	10	2.9	139	0.204	After	21	72
100	50	50	1	277447	5515.24	1.71	5404.94	1.68	84	110.305	Before	0	73
100	50	50	1	500	9.96	1.67	9.76	1.64	82	0.199	After	2	73
100	50	50	1	308440	6208.65	3.27	6084.48	3.2	160	124.173	Before	0	74
98	50	48	0.96	500	10.08	2.96	10.29	3.02	145	0.21	After	16	74
100	50	50	1	315479	6331.73	3.08	6205.1	3.02	151	126.635	Before	0	75
98	50	48	0.96	500	10.1	2.67	10.31	2.73	131	0.21	After	20	75
100	50	50	1	323901	6464.92	3.55	6335.62	3.48	174	129.298	Before	0	76
98	49	49	1	500	10.23	3.08	10.02	3.02	148	0.209	After	26	76
100	50	50	1	312263	6287.16	4.24	6161.42	4.16	208	125.743	Before	0	77
99	50	49	0.98	500	10.04	3.45	10.04	3.45	169	0.205	After	40	77
100	50	50	1	319177	6334.39	4.43	6207.7	4.34	217	126.688	Before	0	78
100	50	50	1	500	9.92	3.71	9.72	3.64	182	0.198	After	35	78
