n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
107	55	52	0.95	474	8.62	3.41	3.13	7	9.12	5.44	3.31	8	172	0.166	After	16	645	109	474	1	4
145	73	72	0.99	330873	4532.51	1164.03	4.34	8	4595.46	2780.79	4.4	9	317	62.951	Before	0	646	145	472	1	4
142	73	69	0.95	472	6.47	2.82	3.29	7	6.84	4.09	3.48	8	240	0.094	After	77	646	145	472	1	4
314	157	157	1	718372	4575.62	1204.5	2.55	8	4575.62	3095.31	2.55	7	401	29.144	Before	0	647	314	95	1	4
128	68	60	0.88	95	1.4	0.6	1.16	2	1.58	0.85	1.32	3	79	0.023	After	322	647	314	95	1	4
282	141	141	1	630727	4473.24	1128.91	4.27	10	4473.24	2341.79	4.27	10	602	31.725	Before	0	648	282	458	1	4
256	134	122	0.91	458	3.42	1.99	2.25	5	3.75	2.45	2.47	6	301	0.028	After	301	648	282	458	1	4
224	112	112	1	513044	4580.75	1112.17	2.47	7	4580.75	2968.53	2.47	6	277	40.9	Before	0	649	224	307	1	4
194	100	94	0.94	307	3.07	1.69	1.71	3	3.27	2.57	1.82	5	171	0.033	After	106	649	224	307	1	4
211	106	105	0.99	480561	4533.59	1302.03	1.67	4	4576.77	2860.86	1.69	4	177	43.177	Before	0	650	211	143	1	4
144	79	65	0.82	143	1.81	0.96	1.19	2	2.2	1.63	1.45	4	94	0.028	After	83	650	211	143	1	4
378	189	189	1	842337	4456.81	1159.34	2.48	9	4456.81	2924.46	2.48	7	468	23.581	Before	0	651	378	359	1	4
305	157	148	0.94	359	2.29	1.26	1.54	4	2.43	1.57	1.64	4	242	0.015	After	226	651	378	359	1	4
302	151	151	1	671659	4448.07	1167.31	4.32	14	4448.07	2445.65	4.32	9	652	29.457	Before	0	652	302	35	1	4
63	33	30	0.91	35	1.06	0.24	1.06	2	1.17	0.38	1.17	2	35	0.035	After	617	652	302	35	1	4
153	77	76	0.99	337129	4378.3	1077.37	3.04	7	4435.91	2845.95	3.08	7	234	57.609	Before	0	653	153	221	1	4
138	73	65	0.89	221	3.03	1.67	1.81	4	3.4	2.43	2.03	6	132	0.047	After	102	653	153	221	1	4
412	206	206	1	904996	4393.18	1161.27	2.49	7	4393.18	3478.87	2.49	7	513	21.326	Before	0	654	412	74	1	4
121	62	59	0.95	74	1.19	0.4	1.11	2	1.25	0.51	1.17	2	69	0.02	After	444	654	412	74	1	4
385	193	192	0.99	906156	4695.11	1096.59	2.42	6	4719.56	3081.39	2.43	6	467	24.454	Before	0	655	385	223	1	4
248	129	119	0.92	223	1.73	0.98	1.24	3	1.87	1.27	1.34	3	160	0.015	After	307	655	385	223	1	4
105	53	52	0.98	230753	4353.83	1249.03	2.4	5	4437.56	3600.85	2.44	6	127	83.728	Before	0	656	105	184	1	4
96	52	44	0.85	184	3.54	2.18	1.79	4	4.18	3.13	2.11	5	93	0.08	After	34	656	105	184	1	4
226	113	113	1	497433	4402.06	1409.44	1.73	5	4402.06	3258.96	1.73	5	196	38.956	Before	0	657	226	102	1	4
117	62	55	0.89	102	1.65	0.91	1.08	2	1.85	1.16	1.22	3	67	0.03	After	129	657	226	102	1	4
272	136	136	1	603691	4438.9	1262.63	1.75	5	4438.9	3156.52	1.75	5	238	32.639	Before	0	658	272	196	1	4
186	95	91	0.96	196	2.06	1.05	1.33	4	2.15	1.27	1.38	4	126	0.023	After	112	658	272	196	1	4
462	231	231	1	1033852	4475.55	1121.74	3.32	7	4475.55	2597.82	3.32	8	767	19.375	Before	0	659	462	205	1	4
245	129	116	0.9	205	1.59	0.82	1.33	3	1.77	1.17	1.48	4	172	0.014	After	595	659	462	205	1	4
312	156	156	1	687563	4407.46	1096.35	4.33	10	4407.46	2457.22	4.33	11	676	28.253	Before	0	660	312	108	1	4
156	80	76	0.95	108	1.35	0.7	1.24	4	1.42	0.7	1.3	3	99	0.018	After	577	660	312	108	1	4
450	225	225	1	996553	4429.12	1162.56	4.47	10	4429.12	2318.94	4.47	10	1005	19.685	Before	0	661	450	433	1	4
363	187	176	0.94	433	2.32	1.37	1.77	5	2.46	1.61	1.88	5	331	0.013	After	674	661	450	433	1	4
174	87	87	1	384599	4420.68	1126.36	2.43	6	4420.68	2891.41	2.43	7	211	50.812	Before	0	662	174	218	1	4
146	77	69	0.9	218	2.83	1.67	1.62	4	3.16	2.13	1.81	6	125	0.041	After	86	662	174	218	1	4
167	84	83	0.99	376727	4484.85	1097.07	3.38	9	4538.88	2662.13	3.42	8	284	54.034	Before	0	663	167	133	1	4
122	62	60	0.97	133	2.15	1.1	1.66	4	2.22	1.21	1.72	4	103	0.036	After	181	663	167	133	1	4
51	26	25	0.96	109428	4208.77	1252.17	4.38	9	4377.12	2033.72	4.56	8	114	168.351	Before	0	664	51	429	1	4
51	26	25	0.96	429	16.5	6.06	4.12	8	17.16	7.74	4.28	7	107	0.66	After	7	664	51	429	1	4
443	222	221	1	960071	4324.64	1216.07	1.69	5	4344.21	3052.51	1.7	5	375	19.569	Before	0	665	443	267	1	4
288	154	134	0.87	267	1.73	0.89	1.16	3	1.99	1.14	1.34	3	179	0.013	After	196	665	443	267	1	4
229	115	114	0.99	507384	4412.03	1165.13	4.36	10	4450.74	2482.27	4.39	10	501	38.702	Before	0	666	229	92	1	4
120	62	58	0.94	92	1.48	0.74	1.34	3	1.59	0.88	1.43	3	83	0.026	After	418	666	229	92	1	4
