n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	true.npar	true.noff	true.lambda	true.sr	true.sckew	mat
25	13	12	0.92	250	19.23	5.9	1.69	5	20.83	15.93	1.83	3	22	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	93541	7195.46	2142.46	3.38	6	7795.08	3690.13	3.67	5	44	599.622	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.11	3.38	6	20.83	9.57	3.67	5	44	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	117726	9055.85	1745.44	2	4	9810.5	5817.57	2.17	4	26	754.654	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	5.56	2	4	20.83	12.44	2.17	4	26	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	99227	7632.85	2614.81	3.62	6	8268.92	4502.54	3.92	7	47	636.071	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	9.43	3.54	6	20.83	10.19	3.83	7	46	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	109347	8411.31	1914.2	4.38	11	9112.25	4067.8	4.75	7	57	700.942	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	5.92	4.15	8	20.83	7.87	4.5	6	54	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	112427	8648.23	1638.4	4.15	8	9368.92	3193.89	4.5	6	54	720.686	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	4.6	4.08	7	20.83	8.28	4.42	6	53	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	111164	8551.08	2830.93	4.69	9	9263.67	7044.5	5.08	12	61	712.59	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	7.14	4.54	9	20.83	16.05	4.92	12	59	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	113726	8748.15	2219.33	1.85	4	9477.17	6746.32	2	4	24	729.013	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	3.79	1.85	4	20.83	14.73	2	4	24	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	95415	7339.62	1961.63	3.62	6	7951.25	3817.7	3.92	7	47	611.635	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	9.02	3.38	5	20.83	12.59	3.67	7	44	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	88883	6837.15	1873.03	4.69	10	7406.92	2330.58	5.08	7	61	569.763	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.14	4.54	9	20.83	5.13	4.92	7	59	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	101974	7844.15	2348.81	3.62	5	8497.83	6201.05	3.92	7	47	653.679	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.21	3.54	5	20.83	13.31	3.83	7	46	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	99024	7617.23	2807.87	1.54	3	8252	5973.76	1.67	3	20	634.769	25	250	4	1	uniform	Original
24	13	11	0.85	250	19.23	8.5	1.46	3	22.73	14.8	1.73	3	19	1.748	25	250	4	1	uniform	Subsampled
25	13	12	0.92	97848	7526.77	2984.98	1.77	3	8154	5744.48	1.92	3	23	627.231	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	10.15	1.77	3	20.83	15.1	1.92	3	23	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	107248	8249.85	2565.71	2.62	7	8937.33	7071.73	2.83	5	34	687.487	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.51	2.62	7	20.83	16.82	2.83	5	34	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	97407	7492.85	2218.97	2.62	5	8117.25	3372.07	2.83	6	34	624.404	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.37	2.54	5	20.83	9.5	2.75	5	33	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	93793	7214.85	3572.82	1.31	3	7816.08	7205.03	1.42	4	17	601.237	25	250	4	1	uniform	Original
23	11	12	1.09	250	22.73	6.66	1.55	3	20.83	18.7	1.42	4	17	1.894	25	250	4	1	uniform	Subsampled
25	13	12	0.92	111207	8554.38	2391.64	2.38	4	9267.25	5991.3	2.58	5	31	712.865	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.94	2.31	4	20.83	17.89	2.5	5	30	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	106428	8186.77	2357.47	3.38	7	8869	6350.91	3.67	6	44	682.231	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	5.95	3.31	7	20.83	16.38	3.58	6	43	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	113762	8750.92	2063.14	1.92	4	9480.17	5101.92	2.08	4	25	729.244	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	7.01	1.92	4	20.83	10.54	2.08	4	25	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	99636	7664.31	2190.59	2.46	6	8303	4800.26	2.67	4	32	638.692	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.33	2.38	6	20.83	11.93	2.58	4	31	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	100531	7733.15	2252.1	2.38	4	8377.58	4470.68	2.58	4	31	644.429	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.53	2.38	4	20.83	12.44	2.58	4	31	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	117114	9008.77	1974.03	4.62	9	9759.5	4765.75	5	7	60	750.731	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.25	4.31	7	20.83	12	4.67	7	56	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	105981	8152.38	2325.82	2.92	8	8831.75	3670.12	3.17	5	38	679.365	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.51	2.85	7	20.83	11.61	3.08	5	37	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	102965	7920.38	2116.17	3.46	6	8580.42	6046.47	3.75	7	45	660.032	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	5.28	3.23	6	20.83	14.73	3.5	7	42	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	110124	8471.08	2245.18	3	6	9177	5258.19	3.25	5	39	705.923	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.65	3	6	20.83	13.14	3.25	5	39	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	102541	7887.77	2581.4	3.69	6	8545.08	5258.89	4	6	48	657.314	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.08	3.54	6	20.83	11.46	3.83	6	46	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	104680	8052.31	2396.96	3.46	5	8723.33	7398.01	3.75	8	45	671.026	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	10.65	3.31	5	20.83	22.9	3.58	7	43	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	100948	7765.23	1632.91	1.62	3	8412.33	5274.83	1.75	3	21	647.103	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	4.85	1.62	3	20.83	13.86	1.75	3	21	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	105345	8103.46	2684.92	4	9	8778.75	5473.26	4.33	9	52	675.288	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.57	3.85	8	20.83	16.82	4.17	9	50	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	118480	9113.85	2914.92	1.69	4	9873.33	5600.06	1.83	3	22	759.487	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.64	1.69	4	20.83	10.03	1.83	3	22	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	103217	7939.77	2581.09	1.85	4	8601.42	6199.81	2	4	24	661.647	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.72	1.85	4	20.83	16.49	2	4	24	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	87341	6718.54	2329.99	1.77	3	7278.42	4125.39	1.92	3	23	559.878	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	7.42	1.77	3	20.83	12.52	1.92	3	23	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	83493	6422.54	2128.53	3.46	6	6957.75	3618.11	3.75	6	45	535.212	25	250	4	1	uniform	Original
24	13	11	0.85	250	19.23	7.74	3.31	6	22.73	12.63	3.91	6	43	1.748	25	250	4	1	uniform	Subsampled
25	13	12	0.92	98958	7612.15	2805.71	3.92	6	8246.5	4512.1	4.25	7	51	634.346	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.4	3.77	5	20.83	13.57	4.08	7	49	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	106757	8212.08	2642.59	3.23	8	8896.42	5675.19	3.5	6	42	684.34	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	5.56	3.23	8	20.83	13.44	3.5	6	42	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	105088	8083.69	2312.25	3	6	8757.33	7320.44	3.25	6	39	673.641	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.46	3	6	20.83	21.39	3.25	6	39	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	103254	7942.62	2598.75	1.46	2	8604.5	4949.58	1.58	2	19	661.885	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.99	1.46	2	20.83	11.41	1.58	2	19	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	108942	8380.15	2137.88	3.77	5	9078.5	3271.85	4.08	6	49	698.346	25	250	4	1	uniform	Original
24	13	11	0.85	250	19.23	7.25	3.69	5	22.73	6.9	4.36	6	48	1.748	25	250	4	1	uniform	Subsampled
25	13	12	0.92	100757	7750.54	2350.6	3.23	11	8396.42	5093.64	3.5	7	42	645.878	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	7.56	2.62	5	20.83	14.79	2.83	7	34	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	102801	7907.77	2444.22	1.54	3	8566.75	4609.52	1.67	3	20	658.981	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.76	1.54	3	20.83	10.99	1.67	3	20	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	106191	8168.54	2260.49	3.54	9	8849.25	7409.96	3.83	9	46	680.712	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.57	3.23	7	20.83	15.96	3.5	8	42	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	104887	8068.23	2117.6	2.46	5	8740.58	6702.35	2.67	6	32	672.353	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	7.78	2.46	5	20.83	16.91	2.67	6	32	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	106310	8177.69	2920.4	1.85	3	8859.17	4845.57	2	4	24	681.474	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.3	1.85	3	20.83	11.43	2	4	24	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	110171	8474.69	2063.74	4.31	6	9180.92	5757.63	4.67	9	56	706.224	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.67	4.23	6	20.83	14.58	4.58	9	55	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	102414	7878	2193.66	2.69	3	8534.5	4796.05	2.92	5	35	656.5	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	10.31	2.69	3	20.83	16.2	2.92	5	35	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	101220	7786.15	1824.19	1.77	3	8435	3848.97	1.92	3	23	648.846	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	5.04	1.77	3	20.83	10.06	1.92	3	23	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	115412	8877.85	2415.43	4.85	7	9617.67	4090.24	5.25	9	63	739.821	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	5.72	4.62	6	20.83	9.15	5	9	60	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	96034	7387.23	2147.07	1.46	4	8002.83	7805.71	1.58	4	19	615.603	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.97	1.46	4	20.83	21.9	1.58	4	19	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	101637	7818.23	2561.83	2.31	5	8469.75	7871.55	2.5	5	30	651.519	25	250	4	1	uniform	Original
24	13	11	0.85	250	19.23	6.5	2.23	5	22.73	19.86	2.64	5	29	1.748	25	250	4	1	uniform	Subsampled
25	13	12	0.92	93270	7174.62	2538.65	1.69	3	7772.5	5286.39	1.83	4	22	597.885	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	9.94	1.69	3	20.83	16.88	1.83	4	22	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	95783	7367.92	2381.01	2.31	3	7981.92	6688.36	2.5	7	30	613.994	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	9.25	2.31	3	20.83	14.12	2.5	7	30	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	94380	7260	2359.42	2.46	4	7865	4203.25	2.67	5	32	605	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.09	2.46	4	20.83	12.36	2.67	5	32	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	103367	7951.31	2492.73	3.62	8	8613.92	6173.88	3.92	8	47	662.609	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.56	3.54	7	20.83	15.17	3.83	8	46	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	104918	8070.62	2609.65	2.77	6	8743.17	7918.98	3	6	36	672.551	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	8.96	2.54	5	20.83	19.42	2.75	6	33	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	98829	7602.23	2368.69	2.62	6	8235.75	3774.4	2.83	4	34	633.519	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	7.57	2.54	6	20.83	11.87	2.75	4	33	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	111652	8588.62	1862.49	4.69	8	9304.33	3947.65	5.08	8	61	715.718	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	4.68	4.38	8	20.83	10.15	4.75	7	57	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	107450	8265.38	2600.15	4.38	7	8954.17	5580.32	4.75	7	57	688.782	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	7.8	4.08	6	20.83	12.06	4.42	7	53	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	104080	8006.15	2516.54	2.15	5	8673.33	3633.09	2.33	5	28	667.179	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	7.25	2.15	5	20.83	11.04	2.33	5	28	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	112061	8620.08	2177.18	3.46	7	9338.42	5346.28	3.75	6	45	718.34	25	250	4	1	uniform	Original
25	13	12	0.92	250	19.23	6.73	3.46	7	20.83	13.4	3.75	6	45	1.603	25	250	4	1	uniform	Subsampled
25	13	12	0.92	96099	7392.23	2511.29	2.85	5	8008.25	5970.88	3.08	6	37	616.019	25	250	4	1	uniform	Original
24	13	11	0.85	250	19.23	8.03	2.69	5	22.73	15.01	3.18	6	35	1.748	25	250	4	1	uniform	Subsampled
50	25	25	1	197712	7908.48	2226.12	2.6	5	7908.48	4321.42	2.6	6	65	316.339	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.56	2.44	5	10	5.24	2.44	5	61	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	205789	8231.56	1903.52	2.76	5	8231.56	6821.75	2.76	7	69	329.262	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.38	2.48	4	10	9.03	2.48	7	62	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	216424	8656.96	2085.93	1.68	3	8656.96	5805.74	1.68	4	42	346.278	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	3.54	1.6	3	10.42	8.05	1.67	4	40	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	196915	7876.6	2751.89	4	8	7876.6	3960.19	4	7	100	315.064	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.78	3.4	7	10	5.61	3.4	7	85	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	213845	8553.8	2004.23	1.6	3	8553.8	6660.32	1.6	4	40	342.152	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.15	1.56	3	10	7.19	1.56	4	39	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	189469	7578.76	2167.03	2.16	4	7578.76	6132.95	2.16	5	54	303.15	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.7	2.12	4	10	9.02	2.12	5	53	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	174970	6998.8	2330.94	1.8	3	6998.8	4291.48	1.8	4	45	279.952	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	3.64	1.76	3	10.42	5.92	1.83	4	44	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	191934	7677.36	1902.94	3.04	6	7677.36	5173.5	3.04	7	76	307.094	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.12	2.68	6	10	6.67	2.68	7	67	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	183354	7334.16	2673.88	1.96	4	7334.16	5439.46	1.96	5	49	293.366	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.4	1.88	4	10	7.82	1.88	5	47	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	198454	7938.16	1949.37	3.76	7	7938.16	5582.99	3.76	7	94	317.526	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.89	3.36	6	10	7.56	3.36	7	84	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	206134	8245.36	2250.42	4.4	8	8245.36	5992.61	4.4	12	110	329.814	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.21	3.84	8	10	7.58	3.84	11	96	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	197854	7914.16	2374.84	2.6	5	7914.16	7035.65	2.6	7	65	316.566	50	250	4	1	uniform	Original
48	25	23	0.92	250	10	5.43	2.2	4	10.87	7.87	2.39	6	55	0.435	50	250	4	1	uniform	Subsampled
50	25	25	1	186880	7475.2	2490.45	3.72	7	7475.2	6265.05	3.72	8	93	299.008	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.14	3.36	6	10	8.54	3.36	7	84	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	192158	7686.32	2056.16	3.36	6	7686.32	4057.67	3.36	8	84	307.453	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	4.1	3	5	10.42	5.72	3.12	7	75	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	203944	8157.76	2374.37	1.44	4	8157.76	4915	1.44	3	36	326.31	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.5	1.44	4	10	6.53	1.44	3	36	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	194308	7772.32	2241	3.16	6	7772.32	5924.47	3.16	7	79	310.893	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.32	2.8	6	10	9.23	2.8	6	70	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	192818	7712.72	2222.37	2.2	4	7712.72	5930.56	2.2	6	55	308.509	50	250	4	1	uniform	Original
48	25	23	0.92	250	10	4.82	2.04	4	10.87	8.41	2.22	6	51	0.435	50	250	4	1	uniform	Subsampled
50	25	25	1	190628	7625.12	2528.43	1.64	3	7625.12	6038.31	1.64	4	41	305.005	50	250	4	1	uniform	Original
50	25	25	1	250	10	5.29	1.64	3	10	8.89	1.64	4	41	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	196482	7859.28	2503.22	2.2	6	7859.28	5350.57	2.2	5	55	314.371	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	4.29	2.04	5	10.42	6.56	2.12	5	51	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	219656	8786.24	2580.02	3.24	7	8786.24	6207.74	3.24	9	81	351.45	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.89	3.04	7	10	7.58	3.04	9	76	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	192865	7714.6	2683.06	3.2	6	7714.6	3212.21	3.2	6	80	308.584	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.25	2.92	6	10	4.3	2.92	6	73	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	209464	8378.56	2301.96	4	10	8378.56	5047.56	4	8	100	335.142	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	4.46	3.48	7	10.42	5.68	3.62	8	87	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	197957	7918.28	2156.06	3.44	11	7918.28	3991.61	3.44	7	86	316.731	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.14	2.84	6	10	6.46	2.84	5	71	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	206500	8260	2320.68	3.28	7	8260	5395.45	3.28	7	82	330.4	50	250	4	1	uniform	Original
48	25	23	0.92	250	10	3.91	2.68	4	10.87	7.1	2.91	7	67	0.435	50	250	4	1	uniform	Subsampled
50	25	25	1	215811	8632.44	1775.74	3.44	11	8632.44	5260.53	3.44	7	86	345.298	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.75	3.08	7	10	5.97	3.08	5	77	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	185759	7430.36	2410.22	3.28	7	7430.36	4040.36	3.28	7	82	297.214	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.59	3.04	6	10	6.82	3.04	7	76	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	207903	8316.12	2419.34	1.52	3	8316.12	9539.76	1.52	5	38	332.645	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	4.02	1.48	3	10.42	9.7	1.54	5	37	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	189672	7586.88	2098.34	3.32	7	7586.88	3124.78	3.32	6	83	303.475	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.8	2.96	5	10	4.8	2.96	6	74	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	199208	7968.32	2174.61	2.44	6	7968.32	5281.1	2.44	6	61	318.733	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.67	2.36	6	10	7.15	2.36	6	59	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	188765	7550.6	2510.97	2.64	5	7550.6	4829.99	2.64	5	66	302.024	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	5.29	2.28	5	10.42	6.77	2.38	5	57	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	210741	8429.64	2832.6	4.12	9	8429.64	3876.2	4.12	6	103	337.186	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.37	3.48	6	10	5.07	3.48	6	87	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	219768	8790.72	1995.6	3.12	7	8790.72	6024.45	3.12	8	78	351.629	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.11	2.92	6	10	8.2	2.92	8	73	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	206092	8243.68	2324.11	1.96	4	8243.68	5665.21	1.96	4	49	329.747	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.88	1.92	4	10	6.55	1.92	4	48	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	212348	8493.92	2368.42	4.28	9	8493.92	3337.26	4.28	7	107	339.757	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.65	3.64	6	10	4.77	3.64	6	91	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	214157	8566.28	2387.31	2.84	7	8566.28	5501.32	2.84	6	71	342.651	50	250	4	1	uniform	Original
47	25	22	0.88	250	10	3.33	2.48	6	11.36	6.47	2.82	6	62	0.455	50	250	4	1	uniform	Subsampled
50	25	25	1	216630	8665.2	2251.8	2.28	6	8665.2	6446.62	2.28	6	57	346.608	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.11	2.2	6	10	9.54	2.2	6	55	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	192402	7696.08	2175	3.24	6	7696.08	3135.53	3.24	6	81	307.843	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.77	2.72	5	10	4.46	2.72	5	68	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	199128	7965.12	2472.56	4.56	7	7965.12	4667.97	4.56	12	114	318.605	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.15	3.84	6	10	5.89	3.84	9	96	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	198428	7937.12	2410.32	2.8	5	7937.12	4941.79	2.8	6	70	317.485	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	3.52	2.64	4	10.42	6.57	2.75	6	66	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	214615	8584.6	2107.67	4.28	9	8584.6	4978.02	4.28	10	107	343.384	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	5.08	3.48	7	10.42	6.75	3.62	10	87	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	186079	7443.16	2360.34	4.28	9	7443.16	3568.54	4.28	8	107	297.726	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.53	3.76	7	10	5.3	3.76	7	94	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	201984	8079.36	2574.34	3.68	6	8079.36	4293.22	3.68	8	92	323.174	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.97	3.12	5	10	7.3	3.12	7	78	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	201172	8046.88	2319.66	2.64	6	8046.88	4990.53	2.64	6	66	321.875	50	250	4	1	uniform	Original
50	25	25	1	250	10	3.98	2.4	4	10	6.71	2.4	5	60	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	190854	7634.16	2925.33	1.8	4	7634.16	6510.49	1.8	5	45	305.366	50	250	4	1	uniform	Original
48	24	24	1	250	10.42	5.4	1.79	4	10.42	9.26	1.79	4	43	0.434	50	250	4	1	uniform	Subsampled
50	25	25	1	212468	8498.72	2743.58	1.68	5	8498.72	6782.89	1.68	5	42	339.949	50	250	4	1	uniform	Original
49	25	24	0.96	250	10	5	1.64	4	10.42	9.52	1.71	5	41	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	188575	7543	2624.56	1.44	4	7543	5259.02	1.44	3	36	301.72	50	250	4	1	uniform	Original
49	24	25	1.04	250	10.42	4.76	1.5	4	10	7.56	1.44	3	36	0.417	50	250	4	1	uniform	Subsampled
50	25	25	1	182757	7310.28	3194.31	1.76	4	7310.28	5194.43	1.76	4	44	292.411	50	250	4	1	uniform	Original
48	23	25	1.09	250	10.87	4.18	1.87	4	10	7.84	1.72	4	43	0.435	50	250	4	1	uniform	Subsampled
50	25	25	1	197705	7908.2	2073.87	2.32	6	7908.2	4658.11	2.32	4	58	316.328	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.29	2.12	4	10	6.43	2.12	4	53	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	190507	7620.28	2569.75	2.6	7	7620.28	3931.96	2.6	4	65	304.811	50	250	4	1	uniform	Original
50	25	25	1	250	10	4.55	2.4	7	10	5.17	2.4	4	60	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	189475	7579	2509.73	2.48	6	7579	5688.06	2.48	6	62	303.16	50	250	4	1	uniform	Original
50	25	25	1	250	10	5.25	2.2	5	10	7.87	2.2	6	55	0.4	50	250	4	1	uniform	Subsampled
50	25	25	1	200510	8020.4	2244.05	3	6	8020.4	4510.53	3	6	75	320.816	50	250	4	1	uniform	Original
