n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	true.npar	true.noff	true.lambda	true.sr	true.sckew	mat
50	25	25	1	213799	8551.96	1921.56	3.68	7	8551.96	3869.86	3.68	6	92	342.078	50	25	4	1	uniform	Original
37	19	18	0.95	25	1.32	0.48	1.26	2	1.39	0.61	1.33	2	24	0.073	50	25	4	1	uniform	Subsampled
50	25	25	1	203382	8135.28	2197.12	4.16	8	8135.28	4814.92	4.16	9	104	325.411	50	25	4	1	uniform	Original
31	14	17	1.21	25	1.79	1.25	1.57	4	1.47	0.87	1.29	3	22	0.105	50	25	4	1	uniform	Subsampled
50	25	25	1	212749	8509.96	1816.71	1.72	5	8509.96	5663.69	1.72	4	43	340.398	50	25	4	1	uniform	Original
30	15	15	1	25	1.67	0.82	1.13	2	1.67	0.98	1.13	2	17	0.111	50	25	4	1	uniform	Subsampled
50	25	25	1	187016	7480.64	2489.73	3.36	6	7480.64	4588.54	3.36	7	84	299.226	50	25	4	1	uniform	Original
31	16	15	0.94	25	1.56	1.09	1.25	3	1.67	1.35	1.33	3	20	0.104	50	25	4	1	uniform	Subsampled
50	25	25	1	189023	7560.92	2289.41	2.36	4	7560.92	5014.52	2.36	5	59	302.437	50	25	4	1	uniform	Original
30	16	14	0.88	25	1.56	0.81	1.38	3	1.79	0.8	1.57	3	22	0.112	50	25	4	1	uniform	Subsampled
50	25	25	1	182506	7300.24	2622.11	3.16	6	7300.24	4638	3.16	6	79	292.01	50	25	4	1	uniform	Original
26	13	13	1	25	1.92	1.19	1.46	4	1.92	0.76	1.46	2	19	0.148	50	25	4	1	uniform	Subsampled
50	25	25	1	202975	8119	2315.58	3.56	6	8119	4341.22	3.56	6	89	324.76	50	25	4	1	uniform	Original
30	16	14	0.88	25	1.56	0.89	1.31	2	1.79	0.8	1.5	4	21	0.112	50	25	4	1	uniform	Subsampled
50	25	25	1	200559	8022.36	2318.06	2.52	4	8022.36	5545.88	2.52	5	63	320.894	50	25	4	1	uniform	Original
29	14	15	1.07	25	1.79	1.48	1.36	2	1.67	1.11	1.27	3	19	0.119	50	25	4	1	uniform	Subsampled
50	25	25	1	203006	8120.24	2550.13	3.4	6	8120.24	6488.4	3.4	9	85	324.81	50	25	4	1	uniform	Original
29	15	14	0.93	25	1.67	0.98	1.47	3	1.79	0.89	1.57	3	22	0.119	50	25	4	1	uniform	Subsampled
50	25	25	1	195391	7815.64	2626.99	3.44	7	7815.64	3963.42	3.44	8	86	312.626	50	25	4	1	uniform	Original
34	17	17	1	25	1.47	1.01	1.24	3	1.47	1.18	1.24	4	21	0.087	50	25	4	1	uniform	Subsampled
50	25	25	1	198214	7928.56	2047.58	2.6	5	7928.56	5729.88	2.6	9	65	317.142	50	25	4	1	uniform	Original
34	19	15	0.79	25	1.32	0.58	1.11	2	1.67	1.11	1.4	3	21	0.088	50	25	4	1	uniform	Subsampled
50	25	25	1	172989	6919.56	1990.19	2.44	7	6919.56	5241.92	2.44	5	61	276.782	50	25	4	1	uniform	Original
26	15	11	0.73	25	1.67	1.11	1.13	2	2.27	1.27	1.55	3	17	0.152	50	25	4	1	uniform	Subsampled
50	25	25	1	191549	7661.96	2136.33	3.04	6	7661.96	4593.96	3.04	6	76	306.478	50	25	4	1	uniform	Original
33	17	16	0.94	25	1.47	0.72	1.29	3	1.56	0.63	1.38	2	22	0.092	50	25	4	1	uniform	Subsampled
50	25	25	1	211343	8453.72	2000.92	2.4	5	8453.72	5235.99	2.4	5	60	338.149	50	25	4	1	uniform	Original
32	18	14	0.78	25	1.39	0.5	1.22	2	1.79	0.89	1.57	3	22	0.099	50	25	4	1	uniform	Subsampled
50	25	25	1	200472	8018.88	2500.07	1.92	4	8018.88	5660.68	1.92	4	48	320.755	50	25	4	1	uniform	Original
26	13	13	1	25	1.92	1.38	1.23	3	1.92	1.89	1.23	3	16	0.148	50	25	4	1	uniform	Subsampled
50	25	25	1	221821	8872.84	2399.73	1.76	4	8872.84	5428.76	1.76	4	44	354.914	50	25	4	1	uniform	Original
29	15	14	0.93	25	1.67	0.82	1.07	2	1.79	1.25	1.14	3	16	0.119	50	25	4	1	uniform	Subsampled
50	25	25	1	219664	8786.56	2597.11	4.08	8	8786.56	5401.35	4.08	7	102	351.462	50	25	4	1	uniform	Original
30	16	14	0.88	25	1.56	1.03	1.31	3	1.79	0.89	1.5	2	21	0.112	50	25	4	1	uniform	Subsampled
50	25	25	1	174742	6989.68	1694.62	4.2	8	6989.68	3440.36	4.2	7	105	279.587	50	25	4	1	uniform	Original
31	15	16	1.07	25	1.67	0.98	1.33	2	1.56	0.81	1.25	3	20	0.104	50	25	4	1	uniform	Subsampled
50	25	25	1	187208	7488.32	1878.49	2.28	6	7488.32	5061.9	2.28	6	57	299.533	50	25	4	1	uniform	Original
32	17	15	0.88	25	1.47	0.87	1.18	3	1.67	1.29	1.33	3	20	0.098	50	25	4	1	uniform	Subsampled
50	25	25	1	188773	7550.92	2059.08	1.6	3	7550.92	3507.39	1.6	4	40	302.037	50	25	4	1	uniform	Original
35	17	18	1.06	25	1.47	0.62	1.18	2	1.39	0.61	1.11	2	20	0.082	50	25	4	1	uniform	Subsampled
50	25	25	1	190078	7603.12	2081.03	4	8	7603.12	4185.1	4	9	100	304.125	50	25	4	1	uniform	Original
28	15	13	0.87	25	1.67	0.72	1.47	2	1.92	1.04	1.69	4	22	0.128	50	25	4	1	uniform	Subsampled
50	25	25	1	209720	8388.8	2369.35	1.56	3	8388.8	6058.94	1.56	3	39	335.552	50	25	4	1	uniform	Original
27	15	12	0.8	25	1.67	0.98	1	1	2.08	1.24	1.25	2	15	0.139	50	25	4	1	uniform	Subsampled
50	25	25	1	192094	7683.76	2056.46	2.64	5	7683.76	4662.5	2.64	5	66	307.35	50	25	4	1	uniform	Original
