n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
194	97	97	1	421375	4344.07	1129.98	1.86	6	4344.07	3390.52	1.86	5	180	44.784	Before	0	1	194	50	1	4
67	35	32	0.91	50	1.43	0.7	1.11	2	1.56	0.91	1.22	2	39	0.045	After	141	1	194	50	1	4
69	35	34	0.97	161806	4623.03	1076.94	3.11	10	4759	3190.01	3.21	9	109	135.971	Before	0	2	69	50	1	4
48	25	23	0.92	50	2	1.19	1.48	3	2.17	1.44	1.61	3	37	0.087	After	72	2	69	50	1	4
470	235	235	1	1011193	4302.95	1334.97	1.72	6	4302.95	3210.15	1.72	4	405	18.31	Before	0	3	470	50	1	4
88	46	42	0.91	50	1.09	0.28	1	1	1.19	0.45	1.1	2	46	0.026	After	359	3	470	50	1	4
122	61	61	1	262522	4303.64	993	3.61	9	4303.64	2361.42	3.61	7	220	70.551	Before	0	4	122	50	1	4
62	32	30	0.94	50	1.56	0.91	1.38	3	1.67	0.96	1.47	3	44	0.052	After	176	4	122	50	1	4
455	228	227	1	1033987	4535.03	1109.1	4.19	12	4555.01	2443.73	4.21	10	955	19.978	Before	0	5	455	50	1	4
89	43	46	1.07	50	1.16	0.37	1.14	2	1.09	0.35	1.07	3	49	0.025	After	906	5	455	50	1	4
110	55	55	1	233887	4252.49	1321.83	1.62	3	4252.49	2777.29	1.62	3	89	77.318	Before	0	6	110	50	1	4
69	37	32	0.86	50	1.35	0.63	1.11	2	1.56	0.84	1.28	3	41	0.042	After	48	6	110	50	1	4
496	248	248	1	1115353	4497.39	1137.56	4.16	12	4497.39	2445.22	4.16	9	1032	18.135	Before	0	7	496	50	1	4
86	43	43	1	50	1.16	0.37	1.09	2	1.16	0.43	1.09	3	47	0.027	After	985	7	496	50	1	4
150	75	75	1	333142	4441.89	1126.66	3.45	7	4441.89	2609	3.45	8	259	59.225	Before	0	8	150	50	1	4
71	35	36	1.03	50	1.43	0.61	1.31	2	1.39	0.69	1.28	4	46	0.04	After	213	8	150	50	1	4
312	156	156	1	710278	4553.06	1162.27	4.38	10	4553.06	2949.89	4.38	14	684	29.186	Before	0	9	312	50	1	4
92	47	45	0.96	50	1.06	0.25	1.06	2	1.11	0.32	1.11	2	50	0.024	After	634	9	312	50	1	4
393	197	196	0.99	888635	4510.84	1147.17	2.45	7	4533.85	2983.17	2.46	7	483	23.014	Before	0	10	393	50	1	4
90	45	45	1	50	1.11	0.32	1.07	2	1.11	0.44	1.07	2	48	0.025	After	435	10	393	50	1	4
251	126	125	0.99	588449	4670.23	1195.24	1.76	5	4707.59	2957.84	1.78	5	222	37.362	Before	0	11	251	50	1	4
67	34	33	0.97	50	1.47	0.79	1.03	2	1.52	0.83	1.06	2	35	0.045	After	187	11	251	50	1	4
367	184	183	0.99	822616	4470.74	1180.61	4.32	12	4495.17	2318.54	4.34	11	794	24.43	Before	0	12	367	50	1	4
83	42	41	0.98	50	1.19	0.4	1.12	2	1.22	0.47	1.15	2	47	0.029	After	747	12	367	50	1	4
227	114	113	0.99	512968	4499.72	1138.93	4.1	10	4539.54	2375.17	4.13	9	467	39.821	Before	0	13	227	50	1	4
