n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
25	13	12	0.92	63193	4861	1340.57	2.08	3	5266.08	2929.67	2.25	4	27	405.083	Before	0	26	25	25	1	4
20	10	10	1	25	2.5	0.97	1.5	3	2.5	1.18	1.5	2	15	0.25	After	12	26	25	25	1	4
25	13	12	0.92	60403	4646.38	1167.06	2.92	6	5033.58	3476.27	3.17	6	38	387.199	Before	0	27	25	25	1	4
18	10	8	0.8	25	2.5	1.18	1.6	3	3.12	1.64	2	3	16	0.312	After	22	27	25	25	1	4
25	13	12	0.92	52866	4066.62	1238.83	1.38	4	4405.5	3516.26	1.5	3	18	338.885	Before	0	28	25	25	1	4
22	12	10	0.83	25	2.08	1.24	1.08	2	2.5	1.18	1.3	3	13	0.208	After	5	28	25	25	1	4
25	13	12	0.92	61837	4756.69	1036.4	1.77	5	5153.08	3635.59	1.92	3	23	396.391	Before	0	29	25	25	1	4
20	11	9	0.82	25	2.27	1.01	1.18	2	2.78	0.97	1.44	3	13	0.253	After	10	29	25	25	1	4
25	13	12	0.92	57553	4427.15	1145.49	2.15	3	4796.08	2221.8	2.33	3	28	368.929	Before	0	30	25	25	1	4
22	11	11	1	25	2.27	1.35	1.55	3	2.27	1.35	1.55	2	17	0.207	After	11	30	25	25	1	4
25	13	12	0.92	56570	4351.54	1314.14	2.46	4	4714.17	2013.11	2.67	4	32	362.628	Before	0	31	25	25	1	4
23	11	12	1.09	25	2.27	1.1	1.36	2	2.08	1.16	1.25	2	15	0.189	After	17	31	25	25	1	4
25	13	12	0.92	61295	4715	1329.52	3.85	7	5107.92	3039.8	4.17	9	50	392.917	Before	0	32	25	25	1	4
19	11	8	0.73	25	2.27	2.05	1.45	3	3.12	2.42	2	4	16	0.284	After	34	32	25	25	1	4
25	13	12	0.92	61135	4702.69	1102.88	2.92	6	5094.58	3252.3	3.17	6	38	391.891	Before	0	33	25	25	1	4
23	12	11	0.92	25	2.08	1.16	1.5	3	2.27	1.01	1.64	3	18	0.189	After	20	33	25	25	1	4
25	13	12	0.92	51290	3945.38	1182.02	3.38	7	4274.17	1438.37	3.67	6	44	328.782	Before	0	34	25	25	1	4
22	12	10	0.83	25	2.08	1.16	1.83	4	2.5	1.43	2.2	4	22	0.208	After	22	34	25	25	1	4
25	13	12	0.92	60396	4645.85	1194.8	1.46	4	5033	2051.98	1.58	2	19	387.154	Before	0	35	25	25	1	4
21	10	11	1.1	25	2.5	0.85	1.3	2	2.27	0.9	1.18	2	13	0.227	After	6	35	25	25	1	4
25	13	12	0.92	60345	4641.92	874.46	3.38	6	5028.75	2780.18	3.67	7	44	386.827	Before	0	36	25	25	1	4
20	11	9	0.82	25	2.27	1.01	1.55	3	2.78	3.03	1.89	5	17	0.253	After	27	36	25	25	1	4
25	13	12	0.92	55519	4270.69	1316.05	4.15	7	4626.58	1467.26	4.5	6	54	355.891	Before	0	37	25	25	1	4
22	12	10	0.83	25	2.08	1.44	1.5	3	2.5	1.27	1.8	3	18	0.208	After	36	37	25	25	1	4
25	13	12	0.92	56876	4375.08	1283.86	2.15	4	4739.67	2274.31	2.33	4	28	364.59	Before	0	38	25	25	1	4
21	11	10	0.91	25	2.27	1.27	1.27	2	2.5	1.35	1.4	2	14	0.227	After	14	38	25	25	1	4
25	13	12	0.92	54438	4187.54	1050.59	2.31	5	4536.5	3806.99	2.5	7	30	348.962	Before	0	39	25	25	1	4
21	12	9	0.75	25	2.08	1.08	1.42	2	2.78	2.33	1.89	4	17	0.231	After	13	39	25	25	1	4
25	13	12	0.92	53901	4146.23	1259.6	3.46	7	4491.75	2198.11	3.75	7	45	345.519	Before	0	40	25	25	1	4
20	12	8	0.67	25	2.08	1.56	1.33	3	3.12	1.55	2	3	16	0.26	After	29	40	25	25	1	4
25	13	12	0.92	58373	4490.23	1266.08	4.23	8	4864.42	3608.15	4.58	9	55	374.186	Before	0	41	25	25	1	4
20	12	8	0.67	25	2.08	1.08	1.58	3	3.12	1.64	2.38	5	19	0.26	After	36	41	25	25	1	4
25	13	12	0.92	59965	4612.69	1363.81	3.38	8	4997.08	2198.05	3.67	8	44	384.391	Before	0	42	25	25	1	4
21	10	11	1.1	25	2.5	1.35	1.3	3	2.27	1.1	1.18	2	13	0.227	After	31	42	25	25	1	4
25	13	12	0.92	59773	4597.92	841.52	3.31	6	4981.08	3022.67	3.58	7	43	383.16	Before	0	43	25	25	1	4
21	11	10	0.91	25	2.27	1.35	1.82	3	2.5	1.65	2	5	20	0.227	After	23	43	25	25	1	4
25	13	12	0.92	52172	4013.23	1285.14	1.77	3	4347.67	1761.74	1.92	3	23	334.436	Before	0	44	25	25	1	4
21	11	10	0.91	25	2.27	1.42	1.18	2	2.5	2.01	1.3	2	13	0.227	After	10	44	25	25	1	4
25	13	12	0.92	57397	4415.15	1222.67	4.46	8	4783.08	3065.67	4.83	8	58	367.929	Before	0	45	25	25	1	4
20	10	10	1	25	2.5	1.27	1.8	3	2.5	1.72	1.8	3	18	0.25	After	40	45	25	25	1	4
25	13	12	0.92	51858	3989.08	785.68	3.31	6	4321.5	2318.16	3.58	6	43	332.423	Before	0	46	25	25	1	4
19	11	8	0.73	25	2.27	1.49	1.45	3	3.12	2.1	2	3	16	0.284	After	27	46	25	25	1	4
25	13	12	0.92	53083	4083.31	1140.44	2.08	5	4423.58	3777.11	2.25	4	27	340.276	Before	0	47	25	25	1	4
20	11	9	0.82	25	2.27	1.35	1.73	4	2.78	1.64	2.11	4	19	0.253	After	8	47	25	25	1	4
25	13	12	0.92	59654	4588.77	1218.58	3.69	8	4971.17	3084.21	4	7	48	382.397	Before	0	48	25	25	1	4
