n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
39	19	20	1.05	25	1.32	0.58	1.21	2	1.25	0.55	1.15	3	23	0.066	After	107	22	100	25	1	4
100	50	50	1	210541	4210.82	1254.32	4.16	9	4210.82	2231.62	4.16	9	208	84.216	Before	0	23	100	25	1	4
44	21	23	1.1	25	1.19	0.4	1.19	2	1.09	0.29	1.09	2	25	0.052	After	183	23	100	25	1	4
100	50	50	1	239101	4782.02	1013.67	4.32	11	4782.02	2469.32	4.32	9	216	95.64	Before	0	24	100	25	1	4
41	20	21	1.05	25	1.25	0.44	1.2	2	1.19	0.4	1.14	2	24	0.06	After	192	24	100	25	1	4
100	50	50	1	240221	4804.42	1067.6	3.22	10	4804.42	3046.24	3.22	7	161	96.088	Before	0	25	100	25	1	4
36	20	16	0.8	25	1.25	0.55	1.05	2	1.56	0.89	1.31	3	21	0.078	After	140	25	100	25	1	4
100	50	50	1	219465	4389.3	1123.27	1.78	5	4389.3	2595	1.78	5	89	87.786	Before	0	26	100	25	1	4
40	20	20	1	25	1.25	0.55	1.1	2	1.25	0.55	1.1	2	22	0.062	After	67	26	100	25	1	4
100	50	50	1	229030	4580.6	1169.52	2.52	5	4580.6	3201.5	2.52	6	126	91.612	Before	0	27	100	25	1	4
40	20	20	1	25	1.25	0.55	1.2	3	1.25	0.64	1.2	3	24	0.062	After	102	27	100	25	1	4
100	50	50	1	223422	4468.44	1284.09	3.3	7	4468.44	2539.33	3.3	7	165	89.369	Before	0	28	100	25	1	4
40	20	20	1	25	1.25	0.55	1.2	2	1.25	0.55	1.2	3	24	0.062	After	141	28	100	25	1	4
100	50	50	1	241924	4838.48	1166.92	2.64	6	4838.48	3104.84	2.64	6	132	96.77	Before	0	29	100	25	1	4
40	19	21	1.11	25	1.32	0.48	1.21	2	1.19	0.4	1.1	2	23	0.063	After	109	29	100	25	1	4
100	50	50	1	222297	4445.94	1189.24	3.2	8	4445.94	2977.19	3.2	7	160	88.919	Before	0	30	100	25	1	4
37	18	19	1.06	25	1.39	0.7	1.17	3	1.32	0.58	1.11	2	21	0.073	After	139	30	100	25	1	4
100	50	50	1	222271	4445.42	1041.98	4.22	9	4445.42	2070.37	4.22	8	211	88.908	Before	0	31	100	25	1	4
36	18	18	1	25	1.39	0.5	1.28	2	1.39	0.61	1.28	2	23	0.077	After	188	31	100	25	1	4
100	50	50	1	223247	4464.94	1197.03	4.06	8	4464.94	2586.27	4.06	9	203	89.299	Before	0	32	100	25	1	4
35	20	15	0.75	25	1.25	0.44	1.05	2	1.67	0.62	1.4	3	21	0.083	After	182	32	100	25	1	4
100	50	50	1	218763	4375.26	1106.52	4.46	8	4375.26	2142.09	4.46	7	223	87.505	Before	0	33	100	25	1	4
43	22	21	0.95	25	1.14	0.47	1.09	3	1.19	0.51	1.14	2	24	0.054	After	199	33	100	25	1	4
100	50	50	1	214014	4280.28	1262.65	2.34	5	4280.28	3377.82	2.34	5	117	85.606	Before	0	34	100	25	1	4
39	20	19	0.95	25	1.25	0.55	1.05	2	1.32	0.67	1.11	2	21	0.066	After	96	34	100	25	1	4
100	50	50	1	225673	4513.46	1040.94	1.86	5	4513.46	2780.84	1.86	4	93	90.269	Before	0	35	100	25	1	4
43	20	23	1.15	25	1.25	0.44	1.15	2	1.09	0.29	1	1	23	0.054	After	70	35	100	25	1	4
100	50	50	1	218623	4372.46	1211.03	3.88	8	4372.46	2955.35	3.88	8	194	87.449	Before	0	36	100	25	1	4
38	19	19	1	25	1.32	0.95	1.16	4	1.32	0.48	1.16	2	22	0.069	After	172	36	100	25	1	4
100	50	50	1	232257	4645.14	1235.27	1.72	4	4645.14	3325.3	1.72	4	86	92.903	Before	0	37	100	25	1	4
36	19	17	0.89	25	1.32	0.58	1.05	2	1.47	0.87	1.18	2	20	0.077	After	66	37	100	25	1	4
100	50	50	1	220126	4402.52	1137.94	1.76	4	4402.52	2600.46	1.76	4	88	88.05	Before	0	38	100	25	1	4
40	20	20	1	25	1.25	0.55	1.1	2	1.25	0.55	1.1	2	22	0.062	After	66	38	100	25	1	4
100	50	50	1	232594	4651.88	960.08	3.2	6	4651.88	2496.81	3.2	6	160	93.038	Before	0	39	100	25	1	4
