n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
61	32	29	0.91	50	1.56	0.76	1.09	2	1.72	1.07	1.21	3	35	0.054	After	56	85	100	50	1	4
100	50	50	1	225555	4511.1	1169.2	2.52	6	4511.1	2987.65	2.52	5	126	90.222	Before	0	86	100	50	1	4
52	26	26	1	50	1.92	1.06	1.31	2	1.92	1.13	1.31	3	34	0.074	After	92	86	100	50	1	4
100	50	50	1	219099	4381.98	1026.76	4.28	9	4381.98	2435.82	4.28	8	214	87.64	Before	0	87	100	50	1	4
57	30	27	0.9	50	1.67	1.06	1.37	3	1.85	0.99	1.52	3	41	0.062	After	173	87	100	50	1	4
100	50	50	1	216613	4332.26	1167.48	2.4	7	4332.26	3305.68	2.4	5	120	86.645	Before	0	88	100	50	1	4
60	33	27	0.82	50	1.52	0.76	1.18	2	1.85	1.17	1.44	3	39	0.056	After	81	88	100	50	1	4
100	50	50	1	231999	4639.98	1203.44	2.5	5	4639.98	3181.24	2.5	7	125	92.8	Before	0	89	100	50	1	4
54	27	27	1	50	1.85	0.99	1.3	2	1.85	0.95	1.3	3	35	0.069	After	90	89	100	50	1	4
100	50	50	1	235403	4708.06	1149.39	4.2	7	4708.06	2338.71	4.2	10	210	94.161	Before	0	90	100	50	1	4
60	31	29	0.94	50	1.61	0.76	1.39	3	1.72	1	1.48	3	43	0.056	After	167	90	100	50	1	4
100	50	50	1	226575	4531.5	1129.57	4.22	8	4531.5	2925.15	4.22	11	211	90.63	Before	0	91	100	50	1	4
67	31	36	1.16	50	1.61	0.92	1.48	3	1.39	0.69	1.28	3	46	0.045	After	165	91	100	50	1	4
100	50	50	1	228792	4575.84	1115.18	4.1	9	4575.84	3284.87	4.1	10	205	91.517	Before	0	92	100	50	1	4
59	31	28	0.9	50	1.61	0.88	1.35	4	1.79	1.17	1.5	4	42	0.058	After	163	92	100	50	1	4
100	50	50	1	224748	4494.96	1424.16	1.68	5	4494.96	3481.46	1.68	5	84	89.899	Before	0	93	100	50	1	4
61	34	27	0.79	50	1.47	0.71	1.06	2	1.85	1.13	1.33	3	36	0.054	After	48	93	100	50	1	4
100	50	50	1	222493	4449.86	1209.22	3.38	8	4449.86	2576.35	3.38	7	169	88.997	Before	0	94	100	50	1	4
64	33	31	0.94	50	1.52	0.87	1.33	3	1.61	0.99	1.42	2	44	0.049	After	125	94	100	50	1	4
100	50	50	1	219311	4386.22	1181.34	3.22	7	4386.22	2807.83	3.22	8	161	87.724	Before	0	95	100	50	1	4
63	35	28	0.8	50	1.43	0.61	1.2	2	1.79	1.07	1.5	4	42	0.051	After	119	95	100	50	1	4
100	50	50	1	223148	4462.96	1133.64	2.46	5	4462.96	2993.02	2.46	6	123	89.259	Before	0	96	100	50	1	4
54	29	25	0.86	50	1.72	0.96	1.34	3	2	1.08	1.56	3	39	0.069	After	84	96	100	50	1	4
100	50	50	1	216999	4339.98	1161.99	2.7	7	4339.98	2968.85	2.7	7	135	86.8	Before	0	97	100	50	1	4
61	31	30	0.97	50	1.61	0.99	1.35	3	1.67	1.42	1.4	3	42	0.054	After	93	97	100	50	1	4
100	50	50	1	214361	4287.22	1531.96	1.8	7	4287.22	2502.55	1.8	4	90	85.744	Before	0	98	100	50	1	4
63	32	31	0.97	50	1.56	0.62	1.19	3	1.61	0.76	1.23	2	38	0.05	After	52	98	100	50	1	4
100	50	50	1	233157	4663.14	1136.18	4.2	9	4663.14	2111.14	4.2	7	210	93.263	Before	0	99	100	50	1	4
62	33	29	0.88	50	1.52	0.83	1.3	3	1.72	0.84	1.48	2	43	0.052	After	167	99	100	50	1	4
100	50	50	1	243544	4870.88	1054.81	3.56	7	4870.88	2735.63	3.56	7	178	97.418	Before	0	100	100	50	1	4
59	28	31	1.11	50	1.79	0.83	1.57	3	1.61	0.92	1.42	4	44	0.058	After	134	100	100	50	1	4
100	50	50	1	219236	4384.72	1140.26	2.42	6	4384.72	2832.23	2.42	6	121	87.694	Before	0	1	100	100	1	4
84	45	39	0.87	100	2.22	1.36	1.44	3	2.56	1.85	1.67	4	65	0.057	After	56	1	100	100	1	4
100	50	50	1	215839	4316.78	1090.44	1.68	5	4316.78	2847.79	1.68	3	84	86.336	Before	0	2	100	100	1	4
78	42	36	0.86	100	2.38	1.34	1.19	2	2.78	1.74	1.39	3	50	0.066	After	34	2	100	100	1	4
100	50	50	1	212922	4258.44	1112.57	3.4	7	4258.44	2296.68	3.4	8	170	85.169	Before	0	3	100	100	1	4
83	42	41	0.98	100	2.38	1.43	1.79	4	2.44	1.52	1.83	4	75	0.058	After	95	3	100	100	1	4
100	50	50	1	222697	4453.94	1257.01	4.04	8	4453.94	1890.94	4.04	8	202	89.079	Before	0	4	100	100	1	4
84	45	39	0.87	100	2.22	1.06	1.76	4	2.56	1.55	2.03	5	79	0.057	After	123	4	100	100	1	4
100	50	50	1	230693	4613.86	1205.65	2.66	7	4613.86	2844.29	2.66	6	133	92.277	Before	0	5	100	100	1	4
76	38	38	1	100	2.63	1.82	1.63	4	2.63	1.46	1.63	3	62	0.069	After	71	5	100	100	1	4
